,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector
4143,RDNT,29.68,28.95,38.84,17.68,344.78k,246.87k,68.07%,1.90%,10.71%,1.32%,-11.04%,57.32%,43.67,30.14,16.22,2.87,Healthcare
4144,RDCMD,,,,,,,,,,,,,,,,,
4145,RADI,16.93,15.85,18.79,10.62,571.35k,904.48k,92.35%,2.00%,-2.68%,1.24%,12.83%,25.17%,22.33,16.44,-8.46,-34.52,Communication Services
4146,RADN,,,,,,,,,,,,,,,,,
4147,RNDC,,,,,,,,,,,,,,,,,
4148,RAMEW,,,,,,,,,,,,,,,,,
4149,METC,13.03,8.75,19.99,2.76,324.18k,484.11k,65.08%,4.10%,7.15%,10.01%,141.13%,371.07%,14.05,13.1,7.04,9.94,Basic Materials
4150,RMBS,26.18,22.84,29.89,17.44,875.35k,847.63k,90.53%,4.06%,7.21%,32.17%,24.25%,71.88%,29.83,29.47,3.68,11.17,Technology
4151,RAND,16.37,17.28,26.98,14.06,790,1.17k,1.58%,2.10%,6.97%,-5.02%,-7.04%,54.91%,-,17.15,2.32,4.50,Financial Services
4152,RNDB,24.06,21.71,27.40,17.68,5.59k,6.94k,44.43%,,,,,,,,,,Financial Services
4153,RANI,23.83,20.55,36.27,9.24,62.54k,67.98k,0.87%,7.26%,-38.12%,4.99%,-,-,28.40,18.25,,-5.49,Healthcare
4154,RPD,124.93,105.43,145.00,72.02,377.95k,398.08k,106.61%,0.26%,-5.69%,6.61%,27.14%,35.06%,145.13,121.25,-37.70,-34.16,Technology
4155,RMMCX,,,,,,,,,,,,,,,,,
4156,RAVN,57.79,50.69,59.60,30.69,306.49k,177.49k,85.78%,,,,,,,,,,
4157,RSLS,2.2342,3.1140,10.7700,1.3800,420.32k,1.38M,4.62%,-16.67%,-16.67%,-38.20%,-67.00%,-70.43%,9.12,1.64,-17.70,-3.90,Healthcare
4158,RWLK,1.3528,1.6151,6.0000,1.1600,1.31M,5.59M,9.50%,-4.58%,-6.72%,-13.79%,-26.04%,-13.19%,3.50,1.25,-2.67,-3.14,Healthcare
4159,RDI,4.5554,5.4648,7.6400,3.8600,77.76k,38.88k,46.73%,-5.57%,-8.02%,-20.25%,-44.05%,-23.68%,6.00,4.05,-10.10,22.70,Communication Services
4160,RGF,7.93,7.93,12.75,4.56,192.47k,240.86k,,,,,,,,,,,Consumer Defensive
4161,RNWKD,,,,,,,,,,,,,,,,,
4162,RCHG,9.90,9.86,10.69,9.27,30.09k,22.1k,76.92%,-0.45%,-0.20%,0.71%,0.82%,-,-,9.9,2.91,-1.07,Financial Services
4163,REPH,1.6636,2.1791,5.2900,1.3800,323.75k,325.15k,70.83%,-5.19%,-5.19%,-28.78%,-36.80%,-50.68%,5.50,1.51,-3.49,1.23,Healthcare
4164,RXRX,18.64,25.39,42.81,15.25,2.94M,1.58M,69.32%,-10.52%,-10.85%,-23.54%,-53.64%,-,33.83,17.5,-47.43,-43.40,Healthcare
4165,RRGB,18.44,26.94,41.34,14.36,294.16k,318.4k,96.18%,2.67%,0.77%,-28.35%,-48.87%,-12.64%,28.80,17.15,-14.98,-5.00,Consumer Cyclical
4166,RDVT,36.35,26.94,42.47,17.68,68.54k,38.3k,43.26%,8.95%,9.10%,48.78%,70.79%,55.58%,-,40.1,1.26,1.76,Technology
4167,RDBX,11.59,10.36,27.22,7.25,417.39k,1.1M,132.34%,-13.02%,-32.83%,-24.42%,-24.27%,-24.20%,24.00,7.45,-1.84,-3.82,Financial Services
4168,RDFN,44.49,54.21,98.44,36.79,974.44k,1.04M,91.01%,-6.64%,-6.50%,-24.31%,-40.15%,-47.54%,59.75,38.99,-18.95,-27.88,Real Estate
4169,RGC,23.67,20.23,59.00,6.00,20.69k,44.74k,,17.35%,28.05%,42.98%,-,-,-,33.0,,,Healthcare
4170,RGLS,0.4014,0.8078,2.3200,0.3200,1.15M,2.13M,37.67%,-9.61%,-17.75%,-54.36%,-60.45%,-74.27%,1.38,0.33,-8.63,-6.03,Healthcare
4171,RTPY,9.96,9.91,10.30,9.61,1.3M,1.06M,,,,,,,,,,,
4172,REKR,8.83,11.68,25.38,5.72,623.69k,1.07M,41.69%,-5.51%,-3.05%,-42.11%,-37.50%,-15.45%,11.67,6.66,-9.61,-4.76,Technology
4173,RELI,2.8064,3.2063,9.0700,1.8340,17.25M,3.28M,8.31%,14.68%,180.27%,158.26%,77.05%,-15.21%,-,6.8,-0.60,-1.28,Financial Services
4174,RELV,4.0124,3.9821,8.4000,1.5000,240,300,0.00%,,,,,,,,,,Consumer Defensive
4175,RELY,26.28,29.82,53.65,17.10,701.81k,686.63k,,3.76%,-18.17%,-44.76%,-,-,47.14,20.8,-12.96,-1.45,Technology
4176,RNGY,,,,,,,,,,,,,,,,,
4177,REGI,50.70,56.55,117.00,40.27,804.31k,759.46k,98.25%,-2.61%,-13.22%,-13.84%,-32.29%,-38.75%,77.12,42.82,42.47,79.52,Energy
4178,RENO,1.0020,1.3162,4.0300,0.6500,199.1k,455.1k,6.07%,-11.03%,-20.33%,-48.21%,-49.99%,-35.83%,3.50,0.74,-1.19,-2.38,Industrials
4179,RNXT,5.99,6.63,16.74,4.67,226.4k,2.76M,,-6.72%,-35.25%,-26.59%,-,-,15.50,4.85,-1.51,-1.31,Healthcare
4180,RENT,13.31,13.31,19.68,7.69,1.21M,1.16M,,-6.43%,-43.22%,-,-,-,22.89,8.57,-87.80,-42.40,Consumer Cyclical
