,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector
1302,TVIZ,,,,,,,,,,,,,,,,,
1303,CREE,,,,,,,,,,,,,,,,,
1304,CCAP,19.11,18.79,21.48,14.11,145.73k,86.64k,58.35%,0.95%,-2.53%,-3.77%,-3.26%,19.01%,19.17,17.66,16.68,32.58,Financial Services
1305,CXDO,5.2732,5.7583,8.3800,4.3900,86.99k,46.76k,6.76%,6.96%,-3.53%,-16.61%,-19.48%,-30.31%,8.81,4.96,-0.12,-1.00,Communication Services
1306,BHAC,9.74,9.74,9.88,9.71,11.66k,30.47k,36.19%,,,,,,,,,,Financial Services
1307,CROX,159.48,127.22,183.88,60.67,2.82M,1.63M,95.44%,-6.46%,-22.92%,-13.26%,11.53%,111.89%,193.88,128.92,153.49,318.95,Consumer Cyclical
1308,CROS,,,,,,,,,,,,,,,,,
1309,XTXI,,,,,,,,,,,,,,,,,
1310,CRWS,7.45,7.55,8.40,6.50,15.97k,17.29k,41.84%,3.17%,-2.53%,1.56%,1.02%,6.39%,8.50,7.17,2.39,2.67,Consumer Cyclical
1311,CCEL,12.53,10.58,14.16,7.36,19.98k,7.15k,1.72%,-6.80%,-4.62%,-4.62%,32.36%,56.23%,-,11.75,0.86,1.17,Healthcare
1312,CRYP,,,,,,,,,,,,,,,,,
1313,CIVC,,,,,,,,,,,,,,,,,
1314,HLTH,11.05,11.29,22.55,8.53,1.19M,800.12k,,21.19%,27.48%,8.37%,-,-,15.50,13.77,19.35,,Healthcare
1315,CGEM,19.25,26.69,59.85,14.41,609.64k,263.9k,74.24%,-6.05%,-11.66%,-31.37%,-39.69%,-,51.75,16.02,-17.35,-15.64,Healthcare
1316,CPIX,3.52,3.09,7.51,2.20,758.27k,5.07M,20.05%,5.82%,115.00%,77.82%,66.26%,54.07%,-,4.79,-1.06,1.23,Healthcare
1317,CMLS,12.22,11.59,14.84,8.07,39.68k,36.54k,73.30%,1.38%,-10.13%,-9.54%,-24.91%,25.71%,23.67,11.05,27.45,-5.89,Communication Services
1318,CURI,8.03,11.30,24.00,5.57,1.03M,577.84k,22.16%,-5.18%,-21.58%,-45.64%,-58.43%,-59.50%,15.75,5.93,0.83,-8.30,Communication Services
1319,CUTR,40.36,41.75,60.36,22.46,157.22k,150.9k,108.27%,3.50%,4.62%,-16.52%,-20.97%,75.98%,63.40,38.7,-1.39,7.75,Healthcare
1320,CVT,9.49,9.93,14.62,7.35,173.24k,707.62k,,,,,,,,,,,Technology
1321,CYAN,3.2440,3.0949,6.2900,2.6900,45.22k,52.03k,10.52%,-2.82%,-11.68%,8.39%,1.97%,4.38%,-,3.1,0.97,0.52,Consumer Defensive
1322,CYBE,43.23,37.11,49.10,21.77,67.24k,41.94k,63.81%,5.54%,0.34%,25.07%,8.28%,82.66%,54.00,44.55,4.80,3.11,Technology
1323,CYBI,,,,,,,,,,,,,,,,,
1324,CYCN,2.2764,2.9641,6.9000,1.4900,345.44k,408.95k,58.43%,-11.36%,-36.07%,-49.51%,-60.00%,-48.00%,10.50,1.61,-11.29,-16.18,Healthcare
1325,CYMI,,,,,,,,,,,,,,,,,
1326,CY,,,,,,,,,,,,,,,,,
1327,CONE,86.62,76.98,90.34,61.64,2.99M,2.73M,105.88%,0.75%,0.91%,15.75%,26.10%,22.91%,89.03,90.32,6.70,7.40,Real Estate
1328,CYT,14.83,17.17,23.10,9.72,136.23k,67.28k,57.42%,-0.92%,-21.89%,-45.04%,-49.49%,-,31.50,11.24,,,Healthcare
1329,CTSO,5.3332,7.4857,11.6840,4.0200,346.31k,275.65k,43.58%,-3.04%,-17.66%,-48.77%,-45.03%,-47.99%,12.50,4.19,-6.41,-4.68,Healthcare
1330,CYTK,38.67,30.02,47.60,17.72,988.88k,860.92k,96.09%,13.59%,19.63%,38.08%,134.36%,125.15%,55.82,47.62,-76.09,-61.55,Healthcare
1331,CYTR,0.5750,1.1975,5.0000,0.4200,126.42k,79.61k,0.08%,,,,,,,,,,Healthcare
1332,DMED,,,,,,,,,,,,,,,,,
1333,DDMXU,10.65,10.55,11.68,9.83,2.31k,1.27k,23.63%,,,,,,,,,,
1334,XRAY,54.37,60.93,69.54,48.13,1.8M,1.75M,97.05%,6.95%,16.35%,-3.05%,-10.45%,10.54%,69.42,56.62,417.50,-83.00,Healthcare
1335,DFPHW,,,1.8400,1.7400,,,,,,,,,,,,,
1336,DHBC,9.77,9.72,10.09,9.60,14.96k,24.72k,47.62%,,,,,,,,,,Financial Services
1337,DILA,9.76,9.72,10.28,9.25,250,16.66k,,,,,,,,,,,Financial Services
1338,DLHC,15.32,12.33,20.64,9.21,85.01k,47.66k,64.00%,20.53%,53.74%,68.91%,74.40%,118.56%,16.50,20.64,2.88,2.88,Industrials
1339,BOOM,39.90,46.57,70.00,34.46,199.12k,129.37k,107.70%,-0.78%,6.83%,7.41%,-29.60%,-7.87%,54.50,40.28,,,Energy
1340,DPCSU,10.08,10.08,10.28,10.01,9.27k,444.76k,,,,,,,,,,,Financial Services
1341,DTRT,9.98,9.98,12.03,9.73,21.32k,78.8k,19.20%,0.60%,0.10%,-,-,-,-,9.98,,,Financial Services
1342,DZSI,13.47,15.46,23.48,10.77,146.21k,113.49k,36.79%,5.73%,12.75%,21.64%,-27.13%,-0.98%,21.00,15.42,-5.90,-3.28,Technology
1343,DAIEY,,,,,,,,,,,,,,,,,
1344,DALN,6.79,6.88,8.40,6.27,18.4k,17.83k,53.01%,2.36%,9.66%,5.15%,-0.97%,22.43%,-,7.25,,,Communication Services
1345,DRIO,15.66,16.47,31.85,10.02,124.24k,169.79k,41.81%,-7.37%,-19.16%,-1.41%,-41.15%,1.05%,26.44,12.87,-22.44,-17.77,Healthcare
1346,DATS,5.4782,6.9286,18.5000,2.7500,1.62M,10.06M,3.92%,-8.49%,-29.71%,-77.49%,-,-,-,2.98,-1.85,-0.65,Technology
1347,DAIO,5.1568,5.7832,7.5200,4.0300,31.8k,41.31k,39.69%,0.68%,-6.74%,-30.67%,-34.95%,0.45%,8.00,4.46,0.01,-0.03,Technology
1348,DTST,3.7900,3.7752,13.1000,0.1400,70.39k,180.12k,7.99%,-5.44%,-13.89%,-24.76%,-46.31%,-44.23%,8.00,3.07,,,Technology
1349,DTSS,1.7706,2.3750,6.8400,1.2200,440.19k,203.88k,0.22%,0.00%,2.48%,-22.17%,-34.00%,-21.80%,-,1.6,-1.44,-1.60,Technology
1350,PLAY,36.53,39.24,51.73,26.80,1.44M,1.29M,95.66%,3.94%,16.82%,-0.97%,-4.56%,31.18%,48.88,39.01,10.59,52.77,Communication Services
1351,DWSN,2.3136,2.3877,4.4700,1.8300,133.57k,174.74k,62.06%,0.00%,-0.86%,-9.80%,-11.88%,6.98%,-,2.3,-7.87,-9.02,Energy
1352,DSTIW,,,,,,,,,,,,,,,,,
1353,DDICD,,,,,,,,,,,,,,,,,
1354,DCRB,,,,,,,,,,,,,,,,,
1355,DCRC,11.45,10.55,14.48,9.68,2.2M,2.06M,,,,,,,,,,,Financial Services
1356,DBTX,6.7684,8.0875,24.3900,4.5000,122.73k,53.05k,73.75%,-13.08%,-31.99%,-39.41%,-45.12%,-,22.00,4.76,-16.40,-11.65,Healthcare
1357,DECT,,,,,,,,,,,,,,,,,
1358,DLCA,9.76,9.73,10.11,9.53,4.53k,22.15k,60.62%,0.10%,-0.20%,0.51%,0.83%,-,-,9.78,2.20,-4.50,Financial Services
1359,DMAQU,10.07,10.07,10.15,10.03,9.52k,275k,,,,,,,,,,,
1360,DFRG,,,,,,,,,,,,,,,,,
1361,DCTHW,,,,,,,,,,,,,,,,,
1362,DGAS,,,,,,,,,,,,,,,,,
1363,DELTW,,,,,,,,,,,,,,,,,
1364,DNLI,47.28,55.42,84.25,41.10,578.31k,473.53k,79.49%,-4.05%,-0.65%,-10.85%,-43.83%,-47.55%,86.50,45.47,-84.59,-60.69,Healthcare
1365,DENN,15.13,16.29,20.02,13.33,435.05k,657.49k,86.29%,1.75%,12.46%,-5.08%,-4.79%,14.85%,18.71,15.96,12.27,-0.83,Consumer Cyclical
1366,DMTK,22.47,34.60,84.49,15.15,848.94k,609.03k,74.42%,-10.59%,-18.61%,-50.78%,-62.02%,-43.63%,53.60,17.5,,,Healthcare
1367,DRMT,,,,,,,,,,,,,,,,,
1368,DWRI,,,,,,,,,,,,,,,,,
1369,CMRG,,,,,,,,,,,,,,,,,
1370,KUSMX,,,,,,,,,,,,,,,,,
1371,DLLR,,,,,,,,,,,,,,,,,
1372,DMAC,3.9046,5.5618,10.8800,3.0000,189.17k,168.32k,20.30%,-0.85%,-3.31%,-13.12%,-21.12%,-62.38%,18.20,3.66,-3.45,-3.27,Healthcare
1373,DEACU,,,,,,,,,,,,,,,,,
1374,EACU,,,,,,,,,,,,,,,,,
1375,DHIL,204.23,180.96,234.84,138.69,9.74k,8.29k,65.31%,1.34%,-3.37%,15.95%,25.36%,39.04%,-,194.21,25.63,16.86,Financial Services
1376,DHHC,9.75,9.74,10.25,9.60,66.29k,33.59k,70.71%,-0.31%,-1.02%,0.57%,-0.62%,-,-,9.72,6.52,-7.16,Financial Services
1377,FANG,108.78,89.39,117.71,47.56,2.44M,2.81M,88.97%,3.63%,-1.11%,13.18%,15.78%,131.30%,133.50,108.23,649.00,311.00,Energy
1378,DRNA,30.42,28.73,40.14,19.06,3.11M,2.79M,84.67%,1.08%,0.58%,83.31%,4.57%,63.12%,36.43,38.22,-17.07,-40.81,Healthcare
1379,DIGE,,,,,,,,,,,,,,,,,
1380,DGHI,5.4199,4.8923,14.2500,1.3140,150.85k,161.76k,,,,,,,,,,,Technology
1381,DBGI,2.9898,3.4441,8.8000,2.0900,208.35k,2.94M,13.52%,-13.36%,-26.71%,-34.15%,-63.10%,-,-,2.21,-8.94,-10.70,Consumer Cyclical
1382,DHACU,10.18,10.18,10.29,10.09,43.23k,205.1k,,,,,,,,,,,Financial Services
1383,APPS,65.67,67.80,102.56,45.00,4.55M,3.39M,66.44%,2.51%,12.91%,-10.14%,-19.49%,15.77%,108.17,63.63,-5.85,14.28,Technology
1384,DMTX,,,,,,,,,,,,,,,,,
1385,DRTT,2.4569,3.3100,4.9500,1.6300,104.95k,85.08k,78.00%,-10.00%,-31.87%,-44.30%,-60.00%,-29.05%,-,1.83,,,Industrials
1386,DISCB,37.97,56.38,150.72,27.19,2.51k,4.86k,7.39%,,,,,,,,,,Communication Services
1387,DISCK,24.01,28.66,66.70,20.86,3.28M,3.56M,90.62%,2.17%,-3.95%,-5.21%,-20.29%,-11.02%,33.67,23.84,,,Communication Services
1388,DITC,,,,,,,,,,,,,,,,,
1389,DSEY,14.63,16.03,18.61,12.05,1.81M,1.07M,97.67%,1.50%,-6.29%,-22.91%,-28.42%,-,19.30,13.09,,,Consumer Cyclical
1390,DHCNL,,,22.49,22.30,,,,,,,,,,,,,
1391,DIVX,,,,,,,,,,,,,,,,,
1392,TSTF,,,,,,,,,,,,,,,,,
1393,DCGO,9.12,9.73,11.86,7.14,884.25k,556.31k,,8.15%,19.43%,-8.03%,-7.75%,-11.75%,15.75,9.19,0.54,-3.04,Healthcare
1394,DOCC,,,,,,,,,,,,,,,,,
1395,DLTR,126.22,108.59,149.37,84.26,2.61M,3.81M,93.90%,2.80%,-0.74%,39.59%,41.01%,28.60%,154.40,141.24,,,Consumer Defensive
1396,DGICA,14.25,14.89,16.48,13.35,44.75k,36.71k,80.22%,0.42%,2.23%,-2.67%,-2.26%,-0.38%,18.00,14.23,-6.71,16.16,Financial Services
1397,DORM,110.93,103.21,122.96,86.22,221.3k,104.3k,77.84%,6.47%,-1.21%,15.03%,8.69%,28.00%,114.33,112.68,33.10,31.62,Consumer Cyclical
1398,DKNG,37.26,49.48,74.38,25.80,15.86M,15.27M,62.17%,-12.27%,-24.46%,-44.97%,-49.03%,-44.73%,60.30,27.85,-545.03,-305.53,Consumer Cyclical
1399,DPRO,2.7802,2.3416,5.6500,0.7700,423.64k,285.58k,0.00%,-10.64%,-39.13%,-51.45%,-77.30%,-41.96%,-,1.73,,,Industrials
1400,DGNS,10.01,10.11,14.62,8.61,745.51k,752.67k,68.91%,,,,,,,,,,Financial Services
1401,DOTAU,,,,,,,,,,,,,,,,,
1402,DOTA,,,,,,,,,,,,,,,,,
1403,DFH,17.55,21.44,36.60,15.25,140.29k,221.36k,22.61%,4.77%,13.08%,10.33%,-20.02%,-,17.67,19.33,19.14,28.57,Consumer Cyclical
1404,DRVN,31.84,29.39,35.56,22.26,481.67k,457.18k,96.87%,5.47%,6.14%,17.01%,7.92%,-,42.12,33.85,,,Consumer Cyclical
1405,DBX,26.51,28.38,33.00,21.57,2.92M,3.78M,81.78%,-0.56%,-0.72%,-15.29%,-18.28%,8.02%,33.83,25.0,75.60,88.00,Technology
1406,DCT,29.79,39.68,59.40,26.86,537.61k,845.04k,73.84%,-1.84%,2.48%,-33.39%,-32.45%,-30.67%,47.22,30.04,-5.56,-0.36,Technology
1407,DSACU,10.44,10.29,13.37,9.95,120,1.18k,9.13%,,,,,,,,,,Financial Services
1408,DUNE,9.90,9.81,10.24,9.51,9.18k,150.7k,74.38%,-0.20%,-0.61%,0.10%,1.03%,-,-,9.87,1.83,-2.71,Financial Services
1409,DUOL,133.57,144.21,204.99,94.50,355.31k,385.65k,,-3.60%,-14.23%,-39.38%,-,-,177.83,107.34,-28.97,-0.18,Technology
1410,DRTK,,,,,,,,,,,,,,,,,
1411,DRCO,,,,,,,,,,,,,,,,,
1412,DYSL,1.5720,1.3001,2.6500,0.8700,800,1.75k,0.00%,,,,,,,,,,Technology
1413,DVAX,16.31,12.79,21.39,4.36,1.96M,2.46M,76.75%,5.41%,-6.66%,-22.84%,52.28%,219.15%,26.00,14.65,-28.43,4.47,Healthcare
1414,DKHR,,,,,,,,,,,,,,,,,
1415,DALS,9.83,9.84,10.26,9.65,2.95k,14.21k,41.67%,-0.26%,0.98%,-1.76%,-,-,-,9.77,,,Financial Services
1416,DDMX,9.90,9.92,11.02,8.74,178.94k,110.07k,68.83%,,,,,,,,,,
1417,DFPH,9.98,10.09,11.87,9.80,367.39k,101.6k,102.61%,,,,,,,,,,
1418,DHCA,9.76,9.72,10.63,9.61,2.15k,32.52k,49.24%,,,,,,,,,,Financial Services
1419,DICE,29.92,30.19,40.50,20.93,669.45k,263.01k,35.63%,5.38%,-21.33%,-24.64%,-,-,49.00,25.83,-17.34,,Healthcare
1420,DISH,35.80,40.48,47.05,28.53,2.4M,2.52M,87.78%,1.31%,-2.02%,-26.46%,-22.34%,2.40%,49.61,33.01,557.04,671.05,Communication Services
1421,DLO,40.39,48.19,73.43,29.57,1.08M,1.99M,,2.55%,1.01%,-38.20%,-33.31%,-,58.62,35.43,19.66,17.71,Technology
1422,DSPG,21.91,17.49,22.00,13.42,387.79k,292.24k,87.13%,,,,,,,,,,Technology
1423,DTLR,,,,,,,,,,,,,,,,,
1424,DXPE,30.30,30.71,36.26,21.49,151.03k,76.15k,74.02%,4.31%,-12.32%,-16.03%,-23.72%,14.21%,40.00,25.21,7.12,8.12,Industrials
1425,DAIED,,,,,,,,,,,,,,,,,
1426,DJCO,358.31,333.08,416.69,298.00,2.35k,2.64k,40.25%,3.08%,-6.10%,11.82%,0.50%,0.51%,-,364.35,,,Communication Services
1427,DAKT,5.21,5.94,7.23,4.55,277.94k,406.93k,58.06%,0.60%,4.15%,-9.06%,-23.82%,7.49%,-,5.05,2.37,3.69,Technology
1428,DARE,1.7318,1.6053,3.8500,1.2000,4.83M,5.48M,4.86%,-2.00%,12.00%,19.51%,3.70%,58.06%,5.67,2.01,-12.67,-9.16,Healthcare
1429,DSKE,9.83,8.42,10.71,4.97,363.06k,420.95k,37.10%,3.69%,-0.41%,7.08%,51.70%,70.36%,12.38,10.11,20.90,35.30,Industrials
1430,DDUP,,,,,,,,,,,,,,,,,
1431,DKDCA,10.07,10.02,10.20,9.81,13.78k,36.72k,,,,,,,,,,,Financial Services
1432,DDOG,174.94,125.90,199.68,69.73,4.24M,3.34M,77.88%,1.25%,-1.79%,30.09%,72.67%,81.67%,211.42,179.9,-5.48,-9.36,Technology
1433,DWCH,,,,,,,,,,,,,,,,,
1434,DTEA,3.6630,3.6549,7.4500,2.1400,119.06k,158.44k,2.51%,-9.55%,-22.70%,15.65%,-30.34%,12.64%,-,3.13,-1.86,75.48,Consumer Defensive
1435,DAWN,20.33,22.09,28.70,15.16,487.91k,172.58k,26.17%,-5.44%,-9.42%,-31.45%,-28.19%,-,35.00,16.99,-19.24,-114.28,Healthcare
1436,DSUP,,,,,,,,,,,,,,,,,
1437,DEAR,,,,,,,,,,,,,,,,,
1438,DCRN,10.03,9.90,10.43,9.60,860.41k,805.6k,81.75%,,,,,,,,,,Financial Services
1439,DCRD,9.90,9.90,10.56,9.75,68.48k,130.22k,11.31%,,,,,,,,,,Financial Services
1440,DCPH,15.65,30.72,57.99,7.63,2.49M,2.13M,77.00%,-9.50%,21.30%,-72.24%,-74.49%,-83.15%,12.20,10.29,-79.84,-70.43,Healthcare
1441,DECTW,,,,,,,,,,,,,,,,,
1442,DMAQ,9.85,9.85,10.05,9.70,14.44k,132.18k,,-0.10%,-,-,-,-,-,9.86,,,Financial Services
1443,DEER,0.0017,0.0138,0.0500,0.0001,4.84k,4.98k,0.00%,,,,,,,,,,Consumer Cyclical
1444,DH,33.78,36.71,50.30,24.66,640.32k,522.68k,84.39%,-2.46%,-9.39%,-35.34%,-,-,44.11,27.64,-15.79,,Healthcare
1445,TACO,9.71,9.66,12.56,7.34,1.82M,825.14k,65.76%,0.08%,60.98%,41.43%,24.48%,38.14%,12.34,12.47,3.84,6.00,Consumer Cyclical
1446,DCTH,9.54,10.66,25.18,7.00,61.74k,86.15k,30.16%,-7.44%,-22.15%,-25.00%,-39.81%,-55.09%,23.80,7.67,-7.12,-6.43,Healthcare
1447,DELL,56.24,51.48,59.49,35.57,3.23M,5.44M,86.72%,2.89%,-0.90%,6.87%,12.99%,57.51%,68.27,56.78,"3,843.00",831.00,Technology
1448,DPTR,,,,,,,,,,,,,,,,,
1449,PROJ,,,,,,,,,,,,,,,,,
1450,DEPO,,,,,,,,,,,,,,,,,
1451,DRMA,3.5926,4.1675,6.9500,1.6100,138.14k,327.65k,,,,,,,,,,,Healthcare
1452,DSGX,82.11,72.88,91.39,56.55,202.55k,117.47k,92.06%,4.42%,-0.82%,3.40%,19.20%,38.81%,87.75,82.97,,,Technology
1453,DSGN,17.61,19.81,43.00,12.52,404.3k,177.95k,60.63%,15.73%,11.30%,41.46%,-0.50%,-,39.00,21.03,-11.32,-7.64,Healthcare
1454,DXLG,6.97,4.56,8.99,0.25,1.15M,660.58k,46.19%,2.20%,-24.42%,-12.15%,47.35%,2128.00%,11.00,5.75,13.66,24.45,Consumer Cyclical
1455,DSWL,4.2082,4.1731,5.6000,2.9200,4.11k,10.14k,3.10%,-2.56%,-20.63%,-1.80%,-20.29%,31.38%,-,3.91,4.30,6.70,Technology
1456,KUSIX,,,,,,,,,,,,,,,,,
1457,DXCM,584.49,480.31,659.45,318.45,783.39k,675.35k,100.09%,-5.39%,-6.24%,-1.87%,25.39%,50.01%,639.75,541.16,70.90,62.90,Healthcare
1458,DLGS,,,,,,,,,,,,,,,,,
1459,DEAC,,,,,,,,,,,,,,,,,
1460,DTPI,,,,,,,,,,,,,,,,,
1461,DCIXV,,,,,,,,,,,,,,,,,
1462,DFFN,0.4050,0.5940,1.8500,0.3000,1.09M,1.31M,11.48%,-14.34%,-23.05%,-37.84%,-57.52%,-59.21%,2.00,0.32,-12.20,-3.78,Healthcare
1463,DGII,23.24,20.70,25.63,16.33,139.12k,123.34k,87.96%,2.35%,11.03%,18.04%,23.67%,32.18%,30.10,24.99,4.59,3.16,Technology
1464,DMRC,45.65,35.14,53.74,22.11,91.82k,91.7k,55.99%,-6.36%,-4.01%,19.24%,20.81%,-13.95%,31.00,40.5,-2.87,-15.42,Technology
1465,DGLY,1.1828,1.4886,3.9800,0.9700,1.01M,1.94M,7.05%,-3.60%,-7.76%,-8.55%,-40.56%,-57.20%,5.00,1.08,8.07,-5.38,Industrials
1466,DGIT,,,,,,,,,,,,,,,,,
1467,DTOC,9.73,9.73,10.35,9.60,38.01k,39.49k,67.96%,,,,,,,,,,Financial Services
1468,DWAC,53.45,44.48,175.00,9.84,1.93M,17.09M,0.00%,0.06%,18.53%,-,-,-,-,50.65,,,Financial Services
1469,DCOM,35.39,33.58,38.35,23.45,262.61k,144.19k,81.00%,3.38%,0.23%,6.37%,3.84%,46.01%,43.75,34.95,40.43,40.98,Financial Services
1470,DIOD,104.31,88.03,113.98,68.01,244.95k,231.19k,98.04%,4.86%,1.82%,20.90%,38.21%,63.26%,117.67,110.45,68.42,55.37,Technology
1471,DISAD,,,,,,,,,,,,,,,,,
1472,DISCA,24.79,30.97,78.14,21.66,5.28M,6.22M,125.05%,1.44%,-2.93%,-6.10%,-22.20%,-19.60%,37.95,24.62,156.00,672.00,Communication Services
1473,DISA,9.77,9.72,10.78,9.60,5.58k,16.22k,53.23%,,,,,,,,,,Financial Services
1474,DVCR,9.84,5.49,10.01,2.50,14.69k,30.65k,16.75%,,,,,,,,,,
1475,DHC,3.1578,3.7806,5.5800,2.3500,1.87M,1.33M,80.76%,4.15%,-2.47%,-20.69%,-33.97%,-32.35%,4.16,2.91,-89.34,-34.22,Real Estate
1476,DXYN,5.60,4.09,6.98,2.26,42.98k,79.41k,49.61%,0.18%,-14.63%,16.70%,93.17%,118.53%,-,5.75,6.43,3.35,Consumer Cyclical
1477,DMIF,,,,,,,,,,,,,,,,,
1478,DCBO,71.70,64.23,92.75,37.21,94.57k,86.61k,40.67%,-0.68%,-9.24%,-7.55%,13.33%,10.96%,-,69.46,,,Technology
1479,DOCU,223.21,245.23,314.76,131.51,4.85M,4.96M,77.33%,-1.14%,-39.37%,-40.64%,-45.46%,-33.17%,210.71,154.83,,,Technology
1480,DOGZ,4.88,2.77,7.89,1.30,1.37M,1.23M,6.33%,23.47%,65.76%,175.87%,273.93%,304.62%,-,7.73,0.67,0.84,Consumer Defensive
1481,DLPN,9.60,10.26,32.50,3.30,79.12k,158.77k,11.38%,14.23%,2.44%,-20.22%,-1.18%,184.00%,30.00,9.15,0.14,1.35,Communication Services
1482,DOMO,71.79,74.35,98.35,44.54,431.06k,378.76k,78.14%,-4.60%,-34.06%,-41.81%,-39.65%,-24.84%,103.75,51.32,-28.51,-22.24,Technology
1483,DGICB,13.67,14.47,16.36,11.81,330,598,91.94%,,,,,,,,,,Financial Services
1484,DBTK,,,,,,,,,,,,,,,,,
1485,VGGL,,,,,,,,,,,,,,,,,
1486,LYL,1.4391,1.4461,3.8800,1.0000,72.41k,143.72k,0.70%,13.64%,-16.67%,-10.71%,-30.56%,-44.93%,-,1.25,-3.92,-1.23,Communication Services
1487,DGNU,9.93,9.96,10.88,9.70,228.57k,145.1k,90.37%,-0.71%,-2.30%,-0.91%,-2.58%,-,-,9.82,12.18,-3.96,Financial Services
1488,DOTAW,,,,,,,,,,,,,,,,,
1489,DROOD,,,,,,,,,,,,,,,,,
1490,TBUS,,,,,,,,,,,,,,,,,
1491,DSCM,,,,,,,,,,,,,,,,,
1492,DSAC,9.88,9.80,11.20,9.60,130.98k,104.25k,71.06%,0.91%,0.60%,2.25%,2.89%,0.50%,-,9.97,2.49,1.96,Financial Services
1493,DLTH,15.32,15.85,20.78,10.31,108.84k,137.4k,29.41%,2.48%,6.63%,7.69%,-26.05%,45.71%,24.00,15.32,2.81,8.99,Consumer Cyclical
1494,DUOT,5.68,7.67,13.30,4.05,8.65k,12.62k,26.23%,3.83%,20.27%,-0.89%,-40.59%,43.41%,-,5.76,-2.45,-2.95,Technology
1495,DRRX,1.0824,1.4409,2.9500,0.8700,905.95k,700.43k,53.10%,-1.69%,-5.28%,-25.84%,-41.31%,-54.00%,6.00,0.98,-9.98,-9.15,Healthcare
1496,DYAI,4.0356,4.4244,8.7800,3.1500,247.29k,159.56k,20.19%,-4.59%,8.90%,-22.82%,15.88%,-22.24%,7.67,4.39,-1.72,-3.85,Healthcare
1497,DYNS,9.99,9.92,10.54,9.58,585.24k,132.96k,91.60%,-0.51%,-0.81%,-0.30%,-0.91%,-,-,9.85,,,Financial Services
1498,DYNT,1.2668,1.2572,2.5600,0.8000,139.23k,174.13k,6.86%,-4.89%,-16.18%,-32.25%,-17.58%,17.00%,2.45,1.02,0.48,2.93,Healthcare
1499,DYN,13.91,16.82,32.31,11.56,226.13k,192.74k,104.04%,-3.63%,-16.61%,-28.01%,-43.20%,-46.27%,34.75,12.36,-42.58,-29.95,Healthcare
1500,EJH,2.2693,12.9069,80.9280,1.3600,1.14M,1.38M,0.12%,-10.84%,-34.22%,-43.94%,-94.90%,-,-,1.49,,,Industrials
1501,ETAC,9.84,9.80,11.00,9.60,53.66k,116.58k,68.49%,0.00%,-0.10%,0.20%,0.72%,-3.72%,-,9.83,5.14,-0.62,Financial Services
1502,ECAC,,,,,,,,,,,,,,,,,
1503,EZEM,,,,,,,,,,,,,,,,,
1504,ENNV,9.92,9.86,16.00,9.60,58.68k,120.77k,5.85%,,,,,,,,,,Financial Services
1505,EJFA,9.94,9.79,10.24,9.53,63.4k,109.95k,83.29%,,,,,,,,,,Financial Services
1506,EMKR,7.38,7.71,10.87,4.53,619.08k,333.3k,79.28%,8.81%,-5.04%,-4.53%,-22.34%,26.06%,13.75,7.03,,,Technology
1507,ENG,1.9942,2.6441,9.4000,1.2800,563.17k,1.77M,31.82%,-13.25%,-32.47%,-57.74%,-56.77%,-56.91%,5.40,1.36,,,Industrials
1508,EQRX,9.43,9.84,11.10,5.55,552.87k,406.49k,25.31%,-7.64%,-40.50%,-40.38%,-42.64%,-,-,6.28,,,Healthcare
1509,ESACU,10.12,10.12,10.38,10.04,1.21k,274.22k,,0.00%,-0.59%,-,-,-,-,10.15,,,Financial Services
1510,EPIX,11.72,19.32,36.00,7.42,111.92k,244.26k,82.28%,-0.90%,1.46%,56.04%,-53.90%,12.28%,37.20,14.58,-8.56,-8.75,Healthcare
1511,EVGO,11.71,11.32,24.34,7.17,4.86M,8.44M,25.84%,-9.13%,-27.72%,11.56%,-37.68%,-13.01%,18.38,10.28,6.13,-25.80,Consumer Cyclical
1512,EXAS,87.00,105.92,159.54,71.81,1.69M,1.62M,91.14%,-12.01%,-16.25%,-20.89%,-41.68%,-45.12%,132.53,77.5,-166.94,-176.91,Healthcare
1513,EZPW,7.52,6.69,8.80,4.47,457.72k,419.11k,93.49%,2.09%,-1.08%,-4.55%,21.72%,54.20%,9.83,7.3,1.55,-2.57,Financial Services
1514,EGBN,57.73,56.26,61.58,40.17,275.98k,124.76k,76.66%,4.06%,2.60%,1.28%,4.14%,45.20%,60.88,58.46,32.03,32.02,Financial Services
1515,EBMT,22.52,22.92,26.13,20.00,9.56k,7.15k,53.72%,2.88%,4.90%,3.62%,-0.43%,8.89%,28.50,22.8,,,Financial Services
1516,EFBI,18.36,18.39,18.75,16.50,150,51,0.38%,,,,,,,,,,Financial Services
1517,EEGL,,,,,,,,,,,,,,,,,
1518,ERES,9.87,9.82,10.73,9.63,81.72k,75.28k,78.11%,,,,,,,,,,Financial Services
1519,EWBC,80.44,75.77,87.77,50.49,792.88k,681.55k,91.79%,4.48%,1.68%,0.81%,11.34%,59.23%,100.45,79.82,143.14,143.04,Financial Services
1520,EML,24.90,27.49,33.96,22.23,7.57k,8.95k,66.73%,-1.79%,-0.68%,-0.84%,-18.40%,0.08%,-,24.93,,,Industrials
