,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Last_Q_Net - Prev_Q_Net,Sector,Updated_Price,Predict_Inc_Dec
868,115.43,118.41,137.49,107.85,1550000.0,1110000.0,0.7541,0.0432,0.0675,0.0324,0.0214,-0.1217,131.31,117.46,187.0,186.0,1.0,4,119.37,1
869,3.6844,5.7451,17.85,2.62,62840.0,36580.0,0.8839,-0.0362,-0.1861,-0.2526,-0.5084000000000001,-0.7954000000000001,18.33,2.94,-14.97,-18.97,3.9999999999999982,3,2.45,0
870,41.36,49.57,65.81,34.64,867170.0,938800.0,0.8064,-0.0081,0.0036,-0.1757,-0.2759,0.0608,50.11,39.75,32.68,33.72,-1.0399999999999991,5,38.27,0
871,36.48,26.55,70.29,9.53,1570000.0,4900000.0,0.6465000000000001,0.0316,-0.0171,0.8543000000000001,1.7087,-0.4125999999999999,71.62,37.08,-22.31,-39.21,16.900000000000002,3,33.31,0
872,63.33,55.69,69.4,40.0,865240.0,1200000.0,1.1963,0.0639,0.0684,0.0774,0.2628999999999999,0.0353,94.11,65.41,-345.0,-439.0,94.0,8,70.1,1
873,16.1,16.1,17.0,15.5,68560.0,188930.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,6,18.03,1
874,16.4,27.08,47.72,12.01,124870.0,115160.0,0.7746999999999999,-0.1114,-0.0325,-0.4025999999999999,-0.6762999999999999,-0.305,40.67,14.05,-14.49,-8.83,-5.66,7,13.17,0
876,0.5408,0.793,1.68,0.36,346590.0,684050.0,0.1798999999999999,-0.0537,-0.3157999999999999,-0.4318,-0.6069,-0.6335999999999999,27.67,0.37,-0.14,-6.26,6.12,3,0.37,0
877,5.6038,7.2181,14.39,3.69,37780.0,66180.0,0.0085,0.2623999999999999,-0.1485999999999999,-0.1694,-0.4432,-0.0925,27.67,5.03,0.02,-0.23,0.25,11,6.68,1
879,1.6122,1.2845,3.12,0.74,583310.0,559480.0,0.0089,-0.1494,-0.3195,0.2798,-0.1115,0.4384,27.67,1.41,0.02,-0.23,0.25,9,1.14,0
880,25.59,24.93,31.45,22.76,7110.0,7510.0,0.1165,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,26.91,1
881,234.49,216.09,262.2,175.01,189830.0,184900.0,0.7288,0.034,0.0491,0.004,0.2082,0.2221999999999999,279.43,240.27,61.4,108.3,-46.9,5,217.87,0
883,14.62,14.19,15.66,11.51,960.0,1400.0,0.1232,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,14.6,1
885,437.36,388.99,461.44,314.62,562040.0,385330.0,0.6583,0.0187,0.0235,0.143,0.1648,0.2809,455.67,443.38,0.02,-0.23,0.25,2,404.74,0
886,83.45,81.96,103.25,71.11,395930.0,460890.0,0.9144,0.0306999999999999,0.1466,0.1253,0.0859,0.1452,106.25,92.47,85.1,17.21,67.88999999999999,4,92.61,1
888,18.21,18.54,27.88,17.0,1670.0,3480.0,0.144,0.0083,0.0,0.0097,-0.054,-0.1336,27.67,18.09,5.59,5.58,0.0099999999999997,1,18.2,1
889,26.04,25.07,27.99,18.98,24750.0,21700.0,0.2846,0.0171,0.0426999999999999,0.0231,0.0661,0.3596999999999999,29.0,25.89,15.71,15.87,-0.1599999999999983,1,26.69,1
891,80.65,78.57,88.49,68.28,95660.0,52200.0,0.6448999999999999,0.0137,0.0384,0.0372,0.0831,0.1898,82.5,81.21,0.02,-0.23,0.25,1,84.01,1
893,9.74,9.71,9.97,9.46,140470.0,55130.0,0.5705,-0.0021,-0.0051,-0.0021,-0.0040999999999999,0.0353,27.67,9.7,-4.08,3.23,-7.31,1,9.74,1
897,14.57,17.89,31.29,10.65,250410.0,255470.0,0.2621,-0.031,-0.1772,-0.3472999999999999,-0.4111999999999999,-0.2162,32.0,11.49,-3.98,-3.74,-0.2399999999999997,3,9.76,0
898,64.95,45.58,86.17,23.6,226400.0,142000.0,0.3932,0.1091,0.2758,0.9304,1.2454,2.4393,80.0,83.33,7.43,6.1,1.33,4,70.61,0
899,5.2846,8.6934,19.46,3.0,353330.0,211200.0,0.2688,-0.1538,-0.3689,-0.6086,-0.6966,-0.7041,8.0,3.33,0.99,-8.96,9.95,3,2.46,0
901,8.76,9.17,20.68,7.01,1250000.0,601240.0,0.2743,0.0022,-0.0258,-0.0698,0.0982,-0.0746,22.0,9.05,11.48,9.79,1.6900000000000013,3,8.87,0
902,53.67,56.95,63.04,44.34,1140000.0,1020000.0,0.3225,0.0527,0.0838,0.0154,-0.0533,0.1546,69.01,56.15,244.0,372.0,-128.0,9,59.65,1
903,8.1,8.56,10.17,5.76,7420.0,12530.0,0.1844,-0.0264,-0.0623,-0.1614,-0.1467999999999999,0.2118,14.0,7.34,1.52,2.21,-0.69,2,7.55,1
905,13.67,16.97,37.85,9.67,77380.0,52350.0,0.8201999999999999,-0.1762999999999999,-0.2019,-0.3804,-0.4603,-0.5387,39.5,10.52,-21.7,-21.81,0.1099999999999994,3,8.35,0
906,4.4822,4.9858,6.48,3.87,20540.0,65990.0,0.2901,0.0359,-0.0313,-0.042,-0.1937,0.1189,27.67,4.41,-0.13,0.36,-0.49,9,4.48,1
907,75.73,74.09,80.5,56.38,482170.0,266950.0,0.8613,-0.018,-0.0379,0.0298,-0.0432,0.2321,79.27,73.44,13.32,-2.49,15.81,7,64.93,0
909,81.18,76.17,90.08,66.19,2880000.0,2630000.0,0.9336,0.0515,0.1239,0.1853999999999999,0.2935,0.1128999999999999,87.26,89.33,544.0,512.0,32.0,4,87.2,0
910,0.5733,1.0759,2.27,0.34,1250000.0,1910000.0,0.1629,-0.1394,-0.3162,-0.648,-0.7556,-0.7465999999999999,4.12,0.35,-3.42,-5.22,1.7999999999999998,3,0.37,1
911,17.63,15.41,22.22,12.21,856530.0,626490.0,1.0677,-0.0178,-0.0593,0.0401,0.2379,-0.0052,25.43,17.1,-38.53,-29.9,-8.630000000000003,3,13.85,0
914,18.26,17.01,24.26,10.25,164530.0,68370.0,0.1223,0.207,-0.0926,-0.0269,-0.2329,0.5951,23.0,16.76,-3.08,-3.04,-0.04,3,11.97,0
915,143.26,124.72,150.64,84.02,49030.0,57280.0,0.7598,0.0301,0.0441,0.1523,0.3143,0.6414,146.17,149.05,0.02,-0.23,0.25,6,141.41,0
916,18.05,17.54,19.59,13.7,22240.0,12760.0,0.3811,0.038,-0.051,-0.0823,-0.0487999999999999,0.2057,24.0,16.85,12.34,9.5,2.84,1,18.22,1
918,19.5,18.25,21.1,14.7,166920.0,117030.0,0.1651,0.022,0.1349,0.1226999999999999,0.2166,0.3499,22.0,20.96,102.98,104.54,-1.5600000000000025,1,21.01,1
919,47.99,48.46,57.06,37.76,88100.0,116780.0,1.008,0.0317,-0.0127,-0.0677,-0.0498,0.186,64.44,46.0,0.02,-0.23,0.25,2,48.86,1
920,51.53,55.51,61.8,46.29,21440000.0,20160000.0,0.8532,0.0354,-0.0182,-0.0955,-0.1128,-0.0186,63.69,50.89,4035.0,3738.0,297.0,7,51.28,1
921,10.67,15.62,22.18,9.25,3090000.0,4200000.0,0.9292,0.0176,0.0549,-0.1982,-0.4857,-0.1503999999999999,13.95,11.0,-124.2,-153.8,29.60000000000001,4,10.71,0
922,19.28,19.82,21.5,16.01,2130.0,1580.0,0.0365,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,19.0,1
923,3.238,6.0177,11.45,2.2,71230.0,170880.0,0.4487,0.0259,-0.2492,-0.5188,-0.4337,-0.0883,12.0,2.39,8.61,-1.94,10.55,4,2.28,0
925,38.43,36.4,40.96,23.6,6980.0,6700.0,0.3928,0.0356999999999999,0.0665,0.0644,0.1442999999999999,0.5126,44.5,39.47,5.72,5.86,-0.1400000000000005,1,39.43,0
926,13.09,12.99,14.62,8.75,8950.0,4550.0,0.2486,0.0045,0.0283,0.0306999999999999,0.0331,0.4694,27.67,13.38,8.78,8.72,0.0599999999999987,1,13.7,1
927,3.3275,3.3275,4.38,2.66,293680.0,310930.0,0.5528,-0.0297,-0.0361,-0.1718,-0.4346,0.0353,11.4,2.97,-5.97,-55.8,49.83,3,2.74,0
930,8.51,9.08,11.68,6.04,40920.0,25480.0,0.5447,0.0289999999999999,0.2301,0.2176,-0.0103,0.5118,13.75,9.66,1.67,1.83,-0.1600000000000001,4,8.49,0
931,4.7278,5.3594,15.72,2.79,12430.0,44790.0,0.0859,0.0113,-0.0667,-0.104,-0.2507999999999999,0.3176,7.0,4.4,2.92,11.21,-8.290000000000001,6,4.66,1
932,24.82,24.76,30.4,20.09,182260.0,206460.0,0.7515999999999999,-0.0141999999999999,-0.0769,-0.0659,-0.0207,0.1644,29.62,23.67,-5.98,7.36,-13.34,4,23.11,0
933,61.27,60.51,69.31,34.81,170720.0,253700.0,0.3381,0.02,-0.0529,-0.0588999999999999,-0.1115,0.0353,79.25,59.28,0.02,-0.23,0.25,4,58.49,0
934,177.8,164.4,191.35,96.44,245840.0,203490.0,0.8443,0.0758,0.0658,0.0342,0.1499,0.8271999999999999,212.0,178.79,109.75,82.9,26.849999999999994,4,172.06,0
936,8.58,8.24,9.7,3.75,87320.0,107260.0,0.6217,-0.0227999999999999,0.0062,-0.0687,-0.0401,1.168,10.75,8.15,4.64,-10.85,15.489999999999998,2,8.9,1
940,5.0771,5.0771,10.87,2.61,2570000.0,6080000.0,0.0017,-0.1217999999999999,-0.509,-0.0588999999999999,-0.1115,0.0353,27.67,2.71,-1.44,-5.03,3.5900000000000003,3,2.39,0
941,3.341,3.8735,7.63,2.42,229480.0,216310.0,0.6394,-0.0733,-0.2143,-0.3463,-0.425,-0.5029,13.58,2.54,-5.29,-5.4,0.1100000000000003,3,2.47,0
942,9.82,9.8,10.26,9.65,750.0,44220.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,9.74,0
943,190.78,151.28,211.32,97.39,57810.0,42200.0,0.5313,0.0547,0.1046,0.1144,0.5495,0.9744,27.67,210.67,16.07,16.84,-0.7699999999999996,1,206.33,0
946,9.79,9.75,10.52,9.49,93640.0,61310.0,0.6890000000000001,0.0,-0.0029,0.002,0.0062,0.0353,27.67,9.76,7.93,-4.85,12.78,1,9.76,0
948,18.93,50.19,121.98,10.71,1420000.0,2290000.0,0.6292,0.0008,0.0314,-0.8626,-0.7581,-0.5475,64.57,13.3,-21.71,-21.75,0.0399999999999991,3,10.56,0
950,26.99,23.6,34.75,14.09,142940.0,199060.0,0.601,0.131,0.0383,-0.068,0.2863,0.7465999999999999,36.0,25.77,16.44,15.42,1.0200000000000014,2,23.34,0
951,2.8478,3.3451,9.8,2.05,588260.0,4330000.0,0.0807,-0.0756,-0.0984,-0.2254,-0.4133,-0.4343999999999999,27.67,2.26,-9.8,-8.56,-1.2400000000000002,7,2.025,0
952,4.3479,12.8257,65.0,1.5825,1320000.0,704120.0,0.0,-0.0724,-0.5821000000000001,-0.7262000000000001,-0.8865999999999999,-0.8684999999999999,27.67,2.04,-1.84,-2.91,1.07,3,2.4329,1
953,19.11,18.79,21.48,14.11,145730.0,86640.0,0.5835,0.0095,-0.0253,-0.0377,-0.0326,0.1901,19.17,17.66,16.68,32.58,-15.9,1,18.33,1
954,5.2732,5.7583,8.38,4.39,86990.0,46760.0,0.0676,0.0696,-0.0353,-0.1661,-0.1948,-0.3031,8.81,4.96,-0.12,-1.0,0.88,7,4.4,0
955,9.74,9.74,9.88,9.71,11660.0,30470.0,0.3619,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,9.76,0
956,159.48,127.22,183.88,60.67,2820000.0,1630000.0,0.9544,-0.0646,-0.2292,-0.1326,0.1153,1.1189,193.88,128.92,153.49,318.95,-165.45999999999998,5,125.87,0
957,7.45,7.55,8.4,6.5,15970.0,17290.0,0.4184,0.0317,-0.0253,0.0156,0.0102,0.0639,8.5,7.17,2.39,2.67,-0.2799999999999998,5,7.13,0
958,12.53,10.58,14.16,7.36,19980.0,7150.0,0.0172,-0.068,-0.0462,-0.0462,0.3236,0.5623,27.67,11.75,0.86,1.17,-0.3099999999999999,3,11.45,0
959,11.05,11.29,22.55,8.53,1190000.0,800120.0,0.5528,0.2119,0.2748,0.0837,-0.1115,0.0353,15.5,13.77,19.35,-0.23,19.58,3,9.78,0
960,19.25,26.69,59.85,14.41,609640.0,263900.0,0.7424,-0.0605,-0.1166,-0.3137,-0.3969,0.0353,51.75,16.02,-17.35,-15.64,-1.7100000000000009,3,13.34,0
961,3.52,3.09,7.51,2.2,758270.0,5070000.0,0.2005,0.0582,1.15,0.7781999999999999,0.6626000000000001,0.5407,27.67,4.79,-1.06,1.23,-2.29,3,3.92,0
963,8.03,11.3,24.0,5.57,1030000.0,577840.0,0.2216,-0.0518,-0.2158,-0.4564,-0.5843,-0.595,15.75,5.93,0.83,-8.3,9.13,7,5.62,0
964,40.36,41.75,60.36,22.46,157220.0,150900.0,1.0827,0.035,0.0462,-0.1651999999999999,-0.2097,0.7598,63.4,38.7,-1.39,7.75,-9.14,3,37.07,0
965,9.49,9.93,14.62,7.35,173240.0,707620.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,4,7.02,0
966,3.244,3.0949,6.29,2.69,45220.0,52030.0,0.1052,-0.0282,-0.1168,0.0839,0.0197,0.0438,27.67,3.1,0.97,0.52,0.4499999999999999,9,2.99,0
968,2.2764,2.9641,6.9,1.49,345440.0,408950.0,0.5843,-0.1135999999999999,-0.3607,-0.4951,-0.6,-0.48,10.5,1.61,-11.29,-16.18,4.890000000000001,3,1.37,0
972,38.67,30.02,47.6,17.72,988880.0,860920.0,0.9609,0.1359,0.1963,0.3807999999999999,1.3436,1.2515,55.82,47.62,-76.09,-61.55,-14.540000000000006,3,32.88,0
973,0.575,1.1975,5.0,0.42,126420.0,79610.0,0.0008,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,3,0.58,0
975,54.37,60.93,69.54,48.13,1800000.0,1750000.0,0.9705,0.0695,0.1635,-0.0305,-0.1045,0.1054,69.42,56.62,417.5,-83.0,500.5,3,54.0,0
977,9.77,9.72,10.09,9.6,14960.0,24720.0,0.4761999999999999,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,9.72,0
979,15.32,12.33,20.64,9.21,85010.0,47660.0,0.64,0.2053,0.5374,0.6890999999999999,0.7440000000000001,1.1856,16.5,20.64,2.88,2.88,0.0,2,20.79,1
980,39.9,46.57,70.0,34.46,199120.0,129370.0,1.077,-0.0078,0.0683,0.0741,-0.296,-0.0787,54.5,40.28,0.02,-0.23,0.25,8,43.7,1
984,6.79,6.88,8.4,6.27,18400.0,17830.0,0.5301,0.0236,0.0966,0.0515,-0.0097,0.2243,27.67,7.25,0.02,-0.23,0.25,7,7.3,1
985,15.66,16.47,31.85,10.02,124240.0,169790.0,0.4181,-0.0737,-0.1916,-0.0141,-0.4115,0.0105,26.44,12.87,-22.44,-17.77,-4.670000000000002,3,10.36,0
987,5.1568,5.7832,7.52,4.03,31800.0,41310.0,0.3969,0.0068,-0.0674,-0.3067,-0.3495,0.0045,8.0,4.46,0.01,-0.03,0.04,4,4.82,1
988,3.79,3.7752,13.1,0.14,70390.0,180120.0,0.0799,-0.0544,-0.1389,-0.2476,-0.4631,-0.4422999999999999,8.0,3.07,0.02,-0.23,0.25,4,3.25,1
991,2.3136,2.3877,4.47,1.83,133570.0,174740.0,0.6206,0.0,-0.0086,-0.098,-0.1188,0.0698,27.67,2.3,-7.87,-9.02,1.1499999999999997,8,2.34,1
996,47.28,55.42,84.25,41.1,578310.0,473530.0,0.7948999999999999,-0.0405,-0.0065,-0.1085,-0.4382999999999999,-0.4755,86.5,45.47,-84.59,-60.69,-23.90000000000001,3,33.86,0
997,15.13,16.29,20.02,13.33,435050.0,657490.0,0.8629000000000001,0.0175,0.1246,-0.0508,-0.0479,0.1485,18.71,15.96,12.27,-0.83,13.1,5,16.16,1
998,22.47,34.6,84.49,15.15,848940.0,609030.0,0.7442,-0.1059,-0.1861,-0.5078,-0.6202000000000001,-0.4363,53.6,17.5,0.02,-0.23,0.25,3,14.0,0
999,3.9046,5.5618,10.88,3.0,189170.0,168320.0,0.203,-0.0085,-0.0331,-0.1311999999999999,-0.2112,-0.6238,18.2,3.66,-3.45,-3.27,-0.1800000000000001,3,3.4,0
1000,204.23,180.96,234.84,138.69,9740.0,8290.0,0.6531,0.0134,-0.0337,0.1595,0.2536,0.3903999999999999,27.67,194.21,25.63,16.86,8.77,1,185.63,0
1001,9.75,9.74,10.25,9.6,66290.0,33590.0,0.7071,-0.0031,-0.0102,0.0056999999999999,-0.0062,0.0353,27.67,9.72,6.52,-7.16,13.68,1,9.78,1
1002,108.78,89.39,117.71,47.56,2440000.0,2810000.0,0.8896999999999999,0.0363,-0.0111,0.1318,0.1578,1.3130000000000002,133.5,108.23,649.0,311.0,338.0,8,124.08,1
1006,10.18,10.18,10.29,10.09,43230.0,205100.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,10.23,0
1008,2.4569,3.31,4.95,1.63,104950.0,85080.0,0.78,-0.1,-0.3187,-0.4429999999999999,-0.6,-0.2905,27.67,1.83,0.02,-0.23,0.25,2,2.15,1
1009,37.97,56.38,150.72,27.19,2510.0,4860.0,0.0739,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,7,39.79,1
1010,24.01,28.66,66.7,20.86,3280000.0,3560000.0,0.9062,0.0217,-0.0395,-0.0521,-0.2029,-0.1101999999999999,33.67,23.84,0.02,-0.23,0.25,7,28.4,1
1011,14.63,16.03,18.61,12.05,1810000.0,1070000.0,0.9767,0.015,-0.0629,-0.2291,-0.2842,0.0353,19.3,13.09,0.02,-0.23,0.25,5,13.1,1
1013,9.12,9.73,11.86,7.14,884250.0,556310.0,0.5528,0.0815,0.1943,-0.0803,-0.0775,-0.1175,15.75,9.19,0.54,-3.04,3.58,3,7.74,0
1015,14.25,14.89,16.48,13.35,44750.0,36710.0,0.8022,0.0042,0.0223,-0.0266999999999999,-0.0226,-0.0038,18.0,14.23,-6.71,16.16,-22.87,1,14.55,1
1016,110.93,103.21,122.96,86.22,221300.0,104300.0,0.7784,0.0647,-0.0121,0.1503,0.0868999999999999,0.28,114.33,112.68,33.1,31.62,1.4800000000000004,5,106.2,0
1020,17.55,21.44,36.6,15.25,140290.0,221360.0,0.2261,0.0476999999999999,0.1308,0.1033,-0.2002,0.0353,17.67,19.33,19.14,28.57,-9.43,5,19.55,1
1021,31.84,29.39,35.56,22.26,481670.0,457180.0,0.9687,0.0547,0.0613999999999999,0.1701,0.0791999999999999,0.0353,42.12,33.85,0.02,-0.23,0.25,5,32.23,0
1022,26.51,28.38,33.0,21.57,2920000.0,3780000.0,0.8178,-0.0056,-0.0072,-0.1528999999999999,-0.1828,0.0802,33.83,25.0,75.6,88.0,-12.400000000000006,4,24.08,0
1025,9.9,9.81,10.24,9.51,9180.0,150700.0,0.7437999999999999,-0.002,-0.0060999999999999,0.001,0.0103,0.0353,27.67,9.87,1.83,-2.71,4.54,1,9.89,1
1026,133.57,144.21,204.99,94.5,355310.0,385650.0,0.5528,-0.036,-0.1423,-0.3938,-0.1115,0.0353,177.83,107.34,-28.97,-0.18,-28.79,4,91.83,0
1028,16.31,12.79,21.39,4.36,1960000.0,2460000.0,0.7675,0.0541,-0.0666,-0.2284,0.5228,2.1915,26.0,14.65,-28.43,4.47,-32.9,3,13.06,0
1034,35.8,40.48,47.05,28.53,2400000.0,2520000.0,0.8778,0.0131,-0.0202,-0.2646,-0.2234,0.024,49.61,33.01,557.04,671.05,-114.01,7,36.3,1
1035,40.39,48.19,73.43,29.57,1080000.0,1990000.0,0.5528,0.0255,0.0101,-0.382,-0.3331,0.0353,58.62,35.43,19.66,17.71,1.9499999999999995,4,31.09,0
1037,30.3,30.71,36.26,21.49,151030.0,76150.0,0.7402,0.0431,-0.1232,-0.1603,-0.2372,0.1421,40.0,25.21,7.12,8.12,-0.9999999999999992,2,25.63,1
1038,358.31,333.08,416.69,298.0,2350.0,2640.0,0.4025,0.0308,-0.061,0.1182,0.005,0.0051,27.67,364.35,0.02,-0.23,0.25,7,372.16,1
1039,5.21,5.94,7.23,4.55,277940.0,406930.0,0.5806,0.006,0.0415,-0.0906,-0.2382,0.0749,27.67,5.05,2.37,3.69,-1.3199999999999998,4,5.15,1
1044,3.663,3.6549,7.45,2.14,119060.0,158440.0,0.0250999999999999,-0.0955,-0.2269999999999999,0.1565,-0.3034,0.1264,27.67,3.13,-1.86,75.48,-77.34,9,3.45,1
1045,20.33,22.09,28.7,15.16,487910.0,172580.0,0.2617,-0.0544,-0.0942,-0.3145,-0.2819,0.0353,35.0,16.99,-19.24,-114.28,95.04,3,14.19,0
1046,10.03,9.9,10.43,9.6,860410.0,805600.0,0.8175,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,9.33,0
1049,9.85,9.85,10.05,9.7,14440.0,132180.0,0.5528,-0.001,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,9.86,0.02,-0.23,0.25,1,9.88,1
1050,0.0017,0.0138,0.05,0.0001,4840.0,4980.0,0.0,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,5,0.0001,0
1051,33.78,36.71,50.3,24.66,640320.0,522680.0,0.8439,-0.0246,-0.0939,-0.3534,-0.1115,0.0353,44.11,27.64,-15.79,-0.23,-15.56,3,22.99,0
1052,9.71,9.66,12.56,7.34,1820000.0,825140.0,0.6576000000000001,0.0008,0.6098,0.4143,0.2448,0.3814,12.34,12.47,3.84,6.0,-2.16,5,12.48,1
1054,56.24,51.48,59.49,35.57,3230000.0,5440000.0,0.8672,0.0289,-0.009,0.0687,0.1299,0.5751,68.27,56.78,3843.0,831.0,3012.0,4,60.17,1
1056,82.11,72.88,91.39,56.55,202550.0,117470.0,0.9206,0.0441999999999999,-0.0081999999999999,0.034,0.192,0.3881,87.75,82.97,0.02,-0.23,0.25,4,71.09,0
1058,6.97,4.56,8.99,0.25,1150000.0,660580.0,0.4619,0.022,-0.2442,-0.1215,0.4735,21.28,11.0,5.75,13.66,24.45,-10.79,5,6.0,1
1062,23.24,20.7,25.63,16.33,139120.0,123340.0,0.8795999999999999,0.0235,0.1103,0.1804,0.2367,0.3218,30.1,24.99,4.59,3.16,1.4299999999999995,4,24.25,0
1063,45.65,35.14,53.74,22.11,91820.0,91700.0,0.5599000000000001,-0.0636,-0.0401,0.1924,0.2080999999999999,-0.1394999999999999,31.0,40.5,-2.87,-15.42,12.55,4,36.04,0
1064,1.1828,1.4886,3.98,0.97,1010000.0,1940000.0,0.0705,-0.036,-0.0776,-0.0855,-0.4056,-0.5720000000000001,5.0,1.08,8.07,-5.38,13.45,2,1.09,1
1066,53.45,44.48,175.0,9.84,1930000.0,17090000.0,0.0,0.0006,0.1853,-0.0588999999999999,-0.1115,0.0353,27.67,50.65,0.02,-0.23,0.25,1,67.61,1
1067,35.39,33.58,38.35,23.45,262610.0,144190.0,0.81,0.0338,0.0023,0.0637,0.0384,0.4600999999999999,43.75,34.95,40.43,40.98,-0.5499999999999972,1,37.63,1
1069,24.79,30.97,78.14,21.66,5280000.0,6220000.0,1.2505,0.0144,-0.0293,-0.061,-0.222,-0.196,37.95,24.62,156.0,672.0,-516.0,7,29.34,1
1072,3.1578,3.7806,5.58,2.35,1870000.0,1330000.0,0.8076000000000001,0.0415,-0.0247,-0.2069,-0.3397,-0.3235,4.16,2.91,-89.34,-34.22,-55.120000000000005,6,3.28,1
1075,223.21,245.23,314.76,131.51,4850000.0,4960000.0,0.7733,-0.0113999999999999,-0.3937,-0.4064,-0.4546,-0.3317,210.71,154.83,0.02,-0.23,0.25,4,130.59,0
1077,9.6,10.26,32.5,3.3,79120.0,158770.0,0.1138,0.1423,0.0243999999999999,-0.2022,-0.0118,1.84,30.0,9.15,0.14,1.35,-1.21,7,6.86,0
1078,71.79,74.35,98.35,44.54,431060.0,378760.0,0.7814,-0.046,-0.3406,-0.4181,-0.3964999999999999,-0.2484,103.75,51.32,-28.51,-22.24,-6.270000000000003,4,44.29,0
1079,13.67,14.47,16.36,11.81,330.0,598.0,0.9194,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,13.78,1
1080,1.4391,1.4461,3.88,1.0,72410.0,143720.0,0.0069999999999999,0.1364,-0.1667,-0.1071,-0.3056,-0.4493,27.67,1.25,-3.92,-1.23,-2.69,7,1.16,0
1082,9.88,9.8,11.2,9.6,130980.0,104250.0,0.7106,0.0091,0.006,0.0225,0.0289,0.005,27.67,9.97,2.49,1.96,0.5300000000000002,1,9.91,0
1087,9.99,9.92,10.54,9.58,585240.0,132960.0,0.916,-0.0051,-0.0081,-0.003,-0.0091,0.0353,27.67,9.85,0.02,-0.23,0.25,1,9.83,0
1088,1.2668,1.2572,2.56,0.8,139230.0,174130.0,0.0686,-0.0489,-0.1618,-0.3225,-0.1757999999999999,0.17,2.45,1.02,0.48,2.93,-2.45,3,0.99,0
1089,13.91,16.82,32.31,11.56,226130.0,192740.0,1.0404,-0.0363,-0.1661,-0.2801,-0.432,-0.4627,34.75,12.36,-42.58,-29.95,-12.63,3,9.16,0
1090,2.2693,12.9069,80.928,1.36,1140000.0,1380000.0,0.0012,-0.1084,-0.3422,-0.4393999999999999,-0.949,0.0353,27.67,1.49,0.02,-0.23,0.25,2,1.09,0
1091,9.84,9.8,11.0,9.6,53660.0,116580.0,0.6849,0.0,-0.001,0.002,0.0072,-0.0372,27.67,9.83,5.14,-0.62,5.76,1,9.86,1
1094,7.38,7.71,10.87,4.53,619080.0,333300.0,0.7928000000000001,0.0881,-0.0504,-0.0453,-0.2234,0.2606,13.75,7.03,0.02,-0.23,0.25,4,6.32,0
1096,9.43,9.84,11.1,5.55,552870.0,406490.0,0.2531,-0.0764,-0.405,-0.4038,-0.4264,0.0353,27.67,6.28,0.02,-0.23,0.25,3,6.9,1
1100,87.0,105.92,159.54,71.81,1690000.0,1620000.0,0.9114,-0.1201,-0.1625,-0.2089,-0.4168,-0.4512,132.53,77.5,-166.94,-176.91,9.97,3,75.4,0
1101,7.52,6.69,8.8,4.47,457720.0,419110.0,0.9349,0.0209,-0.0108,-0.0455,0.2171999999999999,0.542,9.83,7.3,1.55,-2.57,4.12,1,6.3,0
1102,57.73,56.26,61.58,40.17,275980.0,124760.0,0.7666,0.0406,0.026,0.0128,0.0414,0.452,60.88,58.46,32.03,32.02,0.009999999999998,1,62.72,1
1103,22.52,22.92,26.13,20.0,9560.0,7150.0,0.5372,0.0288,0.049,0.0362,-0.0043,0.0889,28.5,22.8,0.02,-0.23,0.25,1,24.01,1
1104,18.36,18.39,18.75,16.5,150.0,51.0,0.0038,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,18.15,1
