,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Last_Q_Net - Prev_Q_Net,Sector,Updated_Price,Predict_Inc_Dec
1793,136.86,143.7,179.12,119.2,370510.0,547170.0,0.8802,-0.0149,-0.0176,0.0005,-0.1664,0.0408,181.21,132.3,60.69,194.76,-134.07,7,129.43,0
1794,15.66,19.11,25.5,10.77,24470.0,28680.0,0.2453999999999999,-0.0163999999999999,-0.0994999999999999,-0.2229,-0.3233,-0.3029,22.0,13.5,3.01,4.03,-1.0200000000000005,4,14.37,1
1795,101.85,93.93,108.23,71.32,64940.0,64440.0,0.9406,0.0371,0.0232,0.1497,0.1705,0.3765,120.8,103.43,20.39,20.31,0.0800000000000018,2,103.55,1
1796,233.95,215.64,282.0,183.39,109470.0,132780.0,0.9625,0.0306999999999999,0.0421,0.0133,0.1614,0.1134999999999999,288.67,238.54,31.08,28.4,2.68,3,220.66,0
1798,23.77,22.71,28.36,18.48,10780.0,7220.0,0.239,-0.0741,0.0593,0.1282,0.1467999999999999,0.547,27.67,25.4,3.11,3.11,0.0,1,25.55,1
1801,3.1859,5.6343,24.1,2.14,314680.0,153560.0,0.8773000000000001,0.0088,-0.2589,-0.4387,-0.7101000000000001,-0.8917,20.5,2.32,-13.65,-13.16,-0.4900000000000002,3,1.91,0
1802,6.71,7.33,10.32,4.41,33160.0,27550.0,0.4478999999999999,-0.3012,-0.2581,-0.3471,-0.1115,0.0353,15.5,4.73,-3.39,-3.05,-0.3400000000000003,3,4.28,0
1803,9.8,9.79,11.32,9.54,21840.0,28610.0,0.7341,-0.001,-0.0034999999999999,0.0031,0.0021,0.0353,27.67,9.76,1.28,-2.17,3.45,1,9.82,1
1804,3.3801,3.9306,12.3,2.67,60430.0,53300.0,0.1572,-0.1795,0.0667,0.0095,-0.3118,0.0492,5.0,3.33,-2.24,-1.82,-0.4200000000000001,3,3.79,1
1805,9.84,9.84,17.88,6.75,69450.0,229340.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,3,7.52,0
1808,9.75,9.75,9.9,9.68,32260.0,37490.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,9.71,0
1810,45.23,48.34,63.42,30.6,205800.0,227360.0,0.8839,0.0665,-0.0484,0.1277,-0.1416,0.5575,61.4,46.3,18.54,22.86,-4.32,4,46.25,0
1811,25.39,29.27,49.99,19.14,91000.0,103940.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,3,16.24,1
1814,22.46,17.59,29.0,7.56,190310.0,135530.0,0.6563,0.2275,0.3288,0.5256000000000001,0.6665000000000001,2.9402,29.25,28.34,2.54,2.47,0.0699999999999998,4,21.94,0
1815,0.75,1.0791,6.14,0.51,938810.0,1050000.0,0.1193,-0.129,-0.2380999999999999,-0.4842,-0.5616,-0.8615999999999999,1.0,0.54,0.02,-0.23,0.25,3,0.7,1
1816,129.03,115.93,135.82,83.26,1910000.0,2190000.0,0.9108,0.0113999999999999,0.0254,0.1402,0.1844,0.5158,139.14,133.34,161.3,159.0,2.300000000000012,2,122.87,0
1818,387.02,424.75,555.77,341.03,992830.0,918750.0,0.8542000000000001,-0.0042,0.019,-0.0819999999999999,-0.2014999999999999,0.0321,437.12,384.2,317.0,185.0,132.0,3,399.51,1
1819,23.23,22.37,35.68,14.61,280440.0,154180.0,0.5528,0.0229,0.0225,0.2391,-0.1115,0.0353,35.33,24.4,0.02,-0.23,0.25,3,19.95,0
1822,9.21,11.11,28.21,6.96,164740.0,223400.0,0.5086999999999999,-0.0682,0.1166,0.022,-0.2423,-0.4318,54.5,9.6,-19.29,-17.93,-1.3599999999999994,3,11.59,1
1824,5.87,7.23,19.0,5.03,35680.0,62630.0,0.0721,-0.0591,-0.0892,-0.126,-0.1013,-0.7106999999999999,27.67,5.53,0.02,-0.23,0.25,3,6.49,1
1826,9.87,9.81,11.42,9.58,517080.00000000006,401530.0,0.7535,0.001,0.0173,0.0225,0.0266999999999999,-0.0157,27.67,9.97,6.37,-2.24,8.61,1,9.9,0
1827,2.4653,2.4653,7.18,1.913,25770.0,78530.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,8,2.04,0
1828,81.45,59.8,99.27,22.65,1110000.0,1800000.0,0.6534,0.0051,-0.1336999999999999,-0.1128,0.4949,1.9949,98.5,70.65,44.72,40.92,3.799999999999997,3,52.62,0
1830,67.61,75.83,101.47,61.91,2830000.0,2190000.0,0.9385,0.0015,0.0486,0.0746,-0.1229,-0.1407,93.12,75.33,181.74,149.46,32.28,3,73.65,0
1831,9.76,9.77,10.17,9.63,45220.0,115800.0,0.92,0.001,-0.0060999999999999,-0.001,-0.1115,0.0353,27.67,9.72,0.84,-3.33,4.17,1,9.74,1
1832,83.85,79.33,99.85,68.14,311840.0,327960.0,0.8321999999999999,0.0302999999999999,0.0212,0.0603,0.0857,0.1355,92.75,81.54,33.06,33.05,0.0100000000000051,1,86.29,1
1833,72.19,72.63,80.71,60.47,228430.0,149280.0,0.7273000000000001,0.0301,0.0431,0.0153,-0.0149,0.1816,80.0,72.41,42.73,42.82,-0.0900000000000034,1,78.67,1
1838,4.3682,3.3569,6.88,2.23,244650.0,3110000.0,0.2091,-0.0529,-0.1313,0.6667000000000001,0.4478,-0.0773,9.58,4.43,0.02,-0.23,0.25,3,4.09,0
1841,6.73,6.58,7.94,5.34,23440.0,14260.0,0.2887,0.0077,-0.0165,-0.0762999999999999,0.0431,0.0187,27.67,6.47,1.53,2.69,-1.16,2,6.82,1
1843,35.02,53.63,82.35,29.28,243600.0,212090.0,0.9495,0.0487,0.083,-0.2366,-0.4815,-0.218,43.5,33.9,12.17,5.1,7.07,3,30.96,0
1844,47.67,32.08,60.66,11.11,263360.0,212010.0,0.4877,-0.035,-0.2201,0.4336,0.5379,2.9263,64.5,41.85,14.25,-2.27,16.52,3,32.16,0
