,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price
258,1.93%,4.93%,2.25%,17.54%,55.86%,45.50,41.92
259,2.34%,-1.41%,-11.05%,-43.41%,-,12.55,7.21
260,,,,,,,
261,6.34%,-1.70%,15.32%,-17.34%,137.59%,42.50,32.61
262,-4.06%,5.66%,0.13%,-6.27%,-15.51%,56.33,24.29
263,-12.06%,-26.30%,-38.68%,-63.01%,17.57%,2.25,0.48
264,,,,,,,
265,1.27%,8.47%,-21.57%,-13.51%,-8.83%,6.00,3.19
266,12.36%,17.92%,57.05%,81.49%,158.86%,79.33,72.50
267,-3.77%,-0.33%,-43.66%,-57.43%,-47.40%,25.17,9.30
268,-1.28%,-13.94%,-11.67%,-12.50%,25.44%,222.40,156.25
269,2.04%,1.72%,-15.72%,-12.41%,18.70%,76.00,56.74
270,,,,,,,
271,4.18%,-11.65%,-0.69%,7.82%,42.96%,138.83,103.17
272,,,,,,,
273,,,,,,,
274,,,,,,,
275,8.92%,13.39%,9.81%,15.93%,12.75%,379.80,369.37
276,,,,,,,
277,-2.14%,-0.79%,-26.61%,-36.70%,-4.02%,14.50,5.12
278,3.35%,16.93%,13.31%,-5.36%,-7.12%,40.67,35.13
279,6.56%,7.98%,11.22%,12.93%,24.23%,-,31.50
280,2.77%,-13.16%,3.17%,-27.62%,-,30.73,19.23
281,-2.33%,-12.95%,-28.81%,-35.88%,-39.35%,-,1.70
282,6.46%,9.50%,25.19%,11.67%,55.39%,26.67,23.14
283,,,,,,,
284,,,,,,,
285,1.52%,-2.78%,-3.63%,-8.88%,-1.22%,16.83,15.31
286,3.44%,0.84%,-5.92%,10.64%,-3.91%,15.50,10.95
287,,,,,,,
288,,,,,,,
289,-2.75%,-15.06%,-14.24%,-45.86%,54.52%,11.33,5.39
290,2.67%,2.35%,19.39%,17.29%,12.81%,416.69,407.44
291,-5.58%,-9.47%,-21.71%,-36.96%,-45.00%,-,2.24
292,,,,,,,
293,-7.28%,-25.14%,-29.75%,-39.95%,-44.50%,32.00,8.14
294,-10.19%,-31.85%,-49.36%,-59.51%,-,30.62,7.76
295,-2.16%,0.70%,-13.50%,-11.39%,-5.99%,66.00,40.40
296,-5.27%,-23.50%,-22.40%,-26.40%,-11.50%,19.75,4.87
297,-0.81%,3.51%,8.08%,-22.04%,-7.96%,14.20,8.64
298,-15.62%,-31.12%,-51.44%,-73.05%,-77.65%,17.50,1.44
299,-13.02%,-28.49%,-31.36%,-,-,26.25,8.98
300,-12.94%,-55.55%,-73.94%,-81.62%,-81.38%,3.00,0.32
301,,,,,,,
302,,,,,,,
303,,,,,,,
304,-0.54%,4.51%,-15.20%,-36.05%,-21.86%,-,9.52
305,3.11%,-10.29%,0.75%,0.44%,97.43%,59.36,42.40
306,11.70%,27.18%,41.27%,-1.76%,-55.45%,28.89,24.15
307,12.61%,-6.72%,-36.22%,-72.17%,-47.92%,-,1.25
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,3.66%,-2.93%,-37.62%,-52.49%,-43.91%,49.73,26.51
312,0.62%,-,-,-,-,-,9.76
313,0.63%,-4.37%,21.16%,6.42%,16.75%,8.30,4.90
314,,,,,,,
315,,,,,,,
316,0.00%,4.56%,-12.30%,-15.81%,-3.94%,31.50,7.85
317,,,,,,,
318,,,,,,,
319,,,,,,,
320,,,,,,,
321,-5.94%,-18.10%,-55.22%,-,-,24.00,7.20
322,-1.66%,12.70%,-57.49%,-79.09%,-88.10%,8.00,3.64
323,,,,,,,
324,,,,,,,
325,5.14%,14.80%,-0.56%,-15.65%,-37.24%,37.90,23.76
326,4.27%,5.72%,13.99%,7.50%,-19.16%,120.71,93.96
327,,,,,,,
328,-2.67%,68.80%,99.88%,56.17%,17.64%,31.00,16.90
329,2.11%,-17.19%,-1.46%,-2.79%,13.38%,671.75,578.14
330,,,,,,,
331,,,,,,,
332,6.16%,4.28%,2.58%,-17.89%,-2.83%,106.56,93.32
333,2.78%,-8.43%,47.74%,57.84%,63.61%,142.50,148.28
334,,,,,,,
335,-9.71%,-4.97%,-19.15%,-28.63%,-56.23%,30.50,7.10
336,,,,,,,
337,29.30%,27.96%,69.29%,748.91%,880.33%,31.00,22.89
338,2.25%,-4.27%,6.78%,42.30%,21.69%,19.00,17.66
339,-1.64%,-24.97%,-28.56%,-38.24%,-29.84%,79.50,62.75
340,7.68%,-25.55%,-51.15%,-55.19%,-,24.67,11.24
341,,,,,,,
342,,,,,,,
343,2.29%,4.58%,8.86%,20.66%,47.87%,-,15.43
344,,,,,,,
345,-5.28%,-11.65%,-47.04%,-62.13%,-82.51%,2.83,0.51
346,-2.02%,-0.46%,-15.48%,-23.40%,12.65%,63.00,43.93
347,,,,,,,
348,9.36%,1.63%,-13.82%,-10.10%,-22.41%,4.08,1.92
349,-5.83%,-16.69%,-48.51%,-58.40%,-49.02%,3.50,0.54
350,5.96%,-13.84%,-17.19%,2.62%,22.72%,-,25.83
351,,,,,,,
352,1.07%,-7.02%,-0.37%,9.34%,11.63%,196.29,170.40
353,,,,,,,
354,2.18%,3.56%,11.94%,1.48%,10.89%,134.67,118.16
355,,,,,,,
356,,,,,,,
357,-11.00%,-24.58%,-34.07%,-55.83%,-47.80%,5.88,1.83
358,0.12%,7.37%,-26.33%,-32.67%,-56.26%,30.00,8.52
359,3.86%,6.82%,3.30%,-30.35%,-,25.50,14.32
360,,,,,,,
361,,,,,,,
362,,,,,,,
363,0.26%,0.69%,3.36%,4.57%,5.23%,-,11.68
364,,,,,,,
365,-8.63%,9.92%,-9.41%,2.11%,39.02%,45.14,21.98
366,5.40%,4.57%,6.98%,4.21%,21.00%,44.00,36.75
367,6.04%,-16.55%,-16.34%,-40.65%,-,25.22,14.31
368,0.86%,-12.71%,12.53%,-48.68%,8.35%,14.83,4.78
369,-4.69%,-0.81%,-20.26%,-20.26%,19.61%,3.50,1.23
370,1.40%,6.65%,-22.71%,-2.57%,15.08%,27.22,23.86
371,-13.33%,-,-,-,-,-,9.63
372,4.34%,3.48%,11.46%,12.07%,28.56%,46.25,43.11
373,1.75%,8.76%,-5.60%,-1.72%,5.22%,256.09,191.79
374,5.23%,11.88%,11.98%,28.52%,33.94%,40.00,36.28
375,,,,,,,
376,2.88%,6.69%,7.68%,9.59%,21.06%,60.22,61.14
377,4.35%,-9.31%,12.10%,3.56%,7.07%,49.33,35.51
378,-1.85%,-13.72%,-40.37%,-41.14%,-43.04%,32.62,15.95
379,1.20%,3.77%,-19.80%,-40.34%,12.35%,18.75,11.92
380,,,,,,,
381,-14.79%,-5.90%,-4.15%,0.33%,30.27%,208.20,174.10
382,,,,,,,
383,,,,,,,
384,2.22%,0.77%,9.16%,20.12%,66.87%,3301.20,2936.83
385,-6.44%,-25.30%,-14.86%,-42.55%,-55.94%,-,1.89
386,-5.09%,27.19%,22.25%,47.11%,1.53%,20.67,13.84
387,,,,,,,
388,4.32%,26.65%,18.91%,131.56%,426.15%,77.00,58.73
389,,,,,,,
390,,,,,,,
391,0.10%,-0.10%,0.41%,0.82%,-,-,9.87
392,4.90%,-6.43%,-8.61%,-20.33%,-3.20%,72.40,52.17
393,-11.01%,-12.61%,-14.91%,-77.80%,-,11.62,1.96
394,3.61%,-5.82%,7.62%,6.59%,22.50%,20.60,16.63
395,6.24%,7.67%,11.65%,2.17%,3.29%,17.00,16.09
396,,,,,,,
397,1.79%,3.20%,1.88%,4.28%,3.02%,12.69,11.98
398,3.22%,6.64%,-0.68%,-2.16%,8.17%,88.38,75.25
399,,,,,,,
400,1.67%,20.23%,40.15%,62.63%,131.18%,34.00,34.33
401,,,,,,,
402,0.10%,0.90%,1.41%,-,-,-,10.05
403,,,,,,,
404,,,,,,,
405,2.11%,6.33%,7.80%,4.72%,9.12%,96.91,88.10
406,2.97%,11.37%,10.28%,6.25%,18.71%,11.00,9.12
407,,,,,,,
408,,,,,,,
409,3.19%,6.19%,19.03%,25.76%,47.27%,39.50,38.62
410,,,,,,,
411,-1.70%,13.29%,-15.25%,-22.37%,-25.55%,37.33,22.12
412,-7.46%,-1.06%,0.54%,-27.06%,-10.58%,3.75,1.85
413,-5.78%,-16.73%,-20.72%,-38.18%,-50.85%,25.25,10.94
414,20.97%,36.36%,-20.49%,-62.18%,-69.14%,17.00,2.10
415,-2.83%,1.33%,-16.97%,-27.70%,-5.78%,157.75,103.59
416,4.25%,0.80%,-5.70%,-0.75%,34.36%,60.29,50.09
417,-9.65%,-23.13%,-40.46%,-62.55%,-75.36%,7.00,1.03
418,,,,,,,
419,3.38%,17.76%,19.42%,13.79%,15.80%,23.25,23.62
420,0.46%,-24.28%,0.59%,-,-,82.33,54.93
421,3.10%,-7.14%,-14.09%,-0.10%,58.91%,16.67,9.73
422,,,,,,,
423,2.00%,-4.19%,3.96%,1.95%,22.18%,208.16,176.26
424,-1.68%,14.71%,32.53%,35.60%,62.85%,36.86,36.28
425,-5.44%,-14.14%,-1.52%,-23.23%,218.51%,38.29,18.01
426,,,,,,,
427,,,,,,,
428,-9.78%,-8.83%,-29.17%,-35.87%,-33.44%,14.66,9.13
429,-11.11%,-33.33%,-74.92%,-81.57%,-,21.00,2.87
430,-2.94%,-23.06%,-37.47%,-23.45%,1.71%,11.00,3.01
431,-4.77%,-16.68%,-34.90%,-47.62%,-58.28%,38.50,12.05
432,,,,,,,
433,-7.98%,-43.40%,-46.62%,-50.66%,-37.50%,-,1.51
434,,,,,,,
435,,,,,,,
436,,,,,,,
437,,,,,,,
438,4.53%,-23.40%,-22.19%,17.99%,320.36%,91.00,74.33
439,-2.77%,1.04%,1.80%,-13.08%,-32.15%,114.67,124.25
440,-6.34%,-10.35%,-27.40%,-51.52%,-56.58%,103.86,68.99
441,,,,,,,
442,,,,,,,
443,6.31%,6.45%,25.50%,13.05%,91.03%,168.18,159.65
444,-1.04%,-17.46%,-49.22%,-70.75%,-60.21%,75.75,13.84
