,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price
2706,1.35%,-1.61%,14.43%,-34.69%,-54.31%,13.67,6.94
2707,-7.60%,-23.23%,-42.96%,-71.88%,-76.99%,6.50,3.26
2708,3.65%,3.49%,5.96%,11.55%,27.44%,13.83,13.32
2709,0.53%,-0.98%,-12.00%,-28.41%,-16.90%,29.25,17.08
2710,,,,,,,
2711,-0.68%,0.69%,-0.28%,0.14%,1.14%,-,7.46
2712,2.24%,1.62%,35.68%,31.34%,-25.16%,86.25,57.72
2713,3.57%,4.01%,5.60%,3.80%,14.31%,39.23,36.85
2714,,,,,,,
2715,2.90%,-3.59%,23.68%,20.77%,78.95%,79.33,75.47
2716,-0.21%,-1.52%,-1.62%,-1.72%,-,-,9.71
2717,-0.51%,-1.31%,-0.31%,-0.91%,-,-,9.78
2718,5.17%,0.05%,-15.51%,1.01%,38.33%,33.00,22.10
2719,,,,,,,
2720,0.29%,-10.76%,-24.57%,-25.21%,-54.55%,47.50,18.85
2721,-11.87%,-26.56%,-35.19%,-76.70%,-59.94%,4.80,0.54
2722,1.73%,-39.10%,-51.91%,-75.82%,-81.55%,9.83,1.31
2723,-0.65%,-43.96%,-52.63%,-68.19%,-82.61%,-,1.61
2724,,,,,,,
2725,,,,,,,
2726,,,,,,,
2727,-1.83%,1.16%,2.68%,-27.79%,-,32.17,23.56
2728,,,,,,,
2729,12.02%,-5.01%,7.11%,24.17%,73.05%,181.62,152.58
2730,,,,,,,
2731,11.80%,16.50%,26.57%,-,-,18.00,18.67
2732,-1.01%,-19.83%,31.58%,4.03%,23.52%,126.86,71.04
2733,-4.18%,9.56%,-4.18%,-47.81%,-43.45%,9.00,3.10
2734,-5.48%,5.16%,-21.69%,-29.69%,-56.50%,36.71,14.84
2735,7.09%,16.56%,7.53%,29.59%,-15.07%,78.40,62.74
2736,,,,,,,
2737,,,,,,,
2738,-11.03%,-33.91%,-24.59%,-57.72%,-,21.25,4.25
2739,-0.10%,0.10%,0.51%,-,-,-,9.84
2740,-0.33%,-13.44%,-23.69%,-30.83%,-10.60%,17.50,6.01
2741,,,,,,,
2742,3.72%,13.30%,-14.53%,-31.81%,-35.50%,182.38,139.36
2743,4.33%,2.97%,15.39%,20.50%,67.83%,65.89,59.51
2744,0.10%,0.00%,0.50%,1.32%,-,-,10.05
2745,1.71%,-1.01%,1.09%,19.25%,54.69%,202.64,162.46
2746,4.64%,-7.02%,-14.21%,-15.61%,-19.14%,13.17,6.97
2747,-1.21%,-0.56%,1.19%,4.08%,20.42%,-,15.06
2748,3.25%,5.48%,6.24%,9.04%,52.24%,21.86,18.99
2749,3.34%,10.23%,2.85%,-3.00%,-22.14%,40.00,21.94
2750,6.39%,6.79%,28.06%,11.69%,53.58%,726.19,725.67
2751,3.49%,7.83%,-2.81%,-14.10%,-7.13%,170.00,164.55
2752,0.00%,-0.71%,-0.20%,-1.22%,-,-,9.73
2753,0.18%,-0.31%,9.09%,10.70%,28.20%,-,28.50
2754,-2.56%,-7.66%,-16.51%,-13.62%,-31.60%,12.50,7.08
2755,-4.82%,-15.46%,-35.54%,-51.30%,-63.67%,29.50,7.33
2756,,,,,,,
2757,7.82%,-6.38%,-10.03%,-40.73%,-13.64%,-,9.50
2758,,,,,,,
2759,,,,,,,
2760,5.27%,-1.03%,21.72%,38.66%,77.05%,79.30,77.83
2761,,,,,,,
2762,-2.75%,20.92%,24.70%,47.56%,44.28%,13.80,12.06
2763,13.31%,9.98%,7.05%,2.78%,3.77%,61.00,53.88
2764,6.71%,8.14%,-2.05%,-4.59%,31.93%,28.50,21.00
2765,2.37%,6.80%,-5.25%,-16.34%,31.44%,65.86,51.57
2766,3.42%,16.15%,-12.46%,84.15%,42.45%,4.80,3.18
2767,,,,,,,
2768,,,,,,,
2769,,,,,,,
2770,-0.68%,-14.89%,-40.12%,-57.73%,-,29.38,16.55
2771,-,-,-,-,-,-,10.31
2772,-2.31%,-1.52%,-0.41%,-2.31%,-,-,9.75
2773,1.44%,14.66%,15.51%,-15.21%,-16.54%,31.42,23.87
2774,-0.41%,-0.41%,-0.10%,0.72%,-,-,9.74
2775,-12.05%,-28.99%,-38.47%,-44.71%,-53.61%,12.76,4.14
2776,2.87%,1.29%,-6.49%,-6.71%,1.91%,187.00,163.02
2777,,,,,,,
2778,4.06%,2.72%,-3.50%,6.07%,20.96%,41.50,28.48
2779,,,,,,,
2780,0.52%,0.17%,-9.66%,-16.38%,3.48%,14.33,11.90
2781,,,,,,,
2782,1.46%,1.46%,3.38%,2.16%,-,-,10.32
2783,,,,,,,
2784,,,,,,,
2785,,,,,,,
2786,-0.79%,-0.97%,4.14%,-0.36%,11.62%,32.50,28.23
2787,,,,,,,
2788,-0.39%,0.11%,4.28%,0.11%,13.36%,39.00,28.81
2789,3.42%,3.48%,26.37%,38.26%,50.28%,59.30,59.58
2790,,,,,,,
2791,-9.54%,-2.46%,-28.52%,-46.44%,-45.91%,-,2.27
2792,-6.90%,-5.26%,-37.21%,-67.91%,-46.61%,15.50,4.24
2793,-2.94%,16.10%,-34.98%,-65.58%,-,14.50,9.70
2794,6.40%,-1.21%,-12.23%,8.82%,10.14%,26.75,15.95
2795,-6.10%,-4.39%,-8.82%,-14.15%,-32.73%,7.50,6.42
2796,7.84%,4.91%,16.33%,24.14%,64.80%,211.71,160.55
2797,-3.65%,-27.12%,46.50%,-3.39%,56.14%,-,7.25
2798,,,,,,,
2799,2.70%,29.16%,25.53%,-3.62%,-28.02%,18.00,8.85
2800,0.00%,22.03%,49.38%,14.29%,-8.86%,4.00,3.55
2801,-13.00%,-26.12%,-58.81%,-76.07%,-78.40%,3.60,1.00
2802,,,,,,,
2803,4.21%,0.77%,6.66%,7.01%,21.50%,153.33,140.15
2804,,,,,,,
2805,,,,,,,
2806,12.15%,12.38%,6.83%,-23.09%,-29.62%,10.00,5.84
2807,8.41%,-13.43%,-27.04%,-33.71%,-28.83%,-,1.20
2808,0.00%,-12.53%,-8.19%,-16.31%,31.81%,32.50,21.78
2809,6.72%,7.40%,9.48%,4.39%,30.99%,106.00,87.73
2810,-4.87%,-5.44%,-17.75%,-48.39%,172.87%,-,31.19
2811,-3.67%,-9.75%,-38.37%,-43.22%,-41.69%,67.00,36.30
2812,,,,,,,
2813,,,,,,,
2814,,,,,,,
2815,-8.71%,-25.42%,-51.65%,-50.45%,-71.94%,14.20,2.29
2816,-0.29%,2.81%,-5.92%,-30.65%,-12.92%,123.81,84.18
2817,-8.59%,-10.04%,-44.52%,-43.97%,-,29.75,5.00
2818,-2.71%,-12.03%,2.52%,-0.97%,55.64%,21.10,12.82
2819,-8.27%,-25.42%,-51.77%,-67.90%,-83.36%,4.62,3.73
2820,4.12%,0.14%,-3.58%,-17.41%,50.77%,110.43,66.51
2821,,,,,,,
2822,,,,,,,
2823,-2.00%,-38.44%,-,-,-,16.50,5.01
2824,21.92%,24.44%,13.82%,26.51%,-,7.75,8.55
2825,4.62%,-13.44%,-2.25%,9.87%,13.53%,469.34,400.30
2826,2.98%,22.45%,27.28%,30.31%,11.58%,108.86,106.92
2827,3.18%,-1.60%,6.09%,-24.56%,-48.83%,28.00,17.53
2828,-4.05%,-14.02%,8.94%,-12.36%,-,14.94,8.82
2829,0.36%,-0.48%,-13.95%,-23.08%,-12.96%,12.00,8.48
2830,4.78%,3.48%,4.16%,20.24%,46.86%,16.50,14.19
2831,,,,,,,
2832,5.70%,3.40%,-18.90%,-28.51%,-12.20%,67.89,43.93
2833,6.74%,-11.10%,-12.40%,-26.13%,-6.90%,21.25,13.86
2834,,,,,,,
2835,,,,,,,
2836,4.49%,-0.70%,12.45%,20.83%,35.39%,19.00,19.68
2837,,,,,,,
2838,0.21%,5.42%,1.19%,-6.58%,39.71%,146.50,152.76
2839,,,,,,,
2840,-8.35%,-9.52%,24.75%,15.15%,30.00%,-,4.91
2841,-2.23%,-35.45%,-54.30%,-58.76%,-72.42%,25.00,7.24
2842,3.79%,19.54%,14.53%,8.64%,17.13%,4.00,4.84
2843,,,,,,,
2844,5.02%,12.78%,12.21%,29.25%,50.49%,71.33,79.59
2845,,,,,,,
2846,4.02%,8.11%,4.32%,16.07%,48.78%,125.25,121.90
2847,2.01%,35.52%,8.75%,-0.62%,6.78%,14.20,11.09
2848,-10.65%,-35.79%,-68.01%,-59.31%,-,27.42,5.15
2849,3.53%,-19.24%,-22.01%,-52.86%,-9.33%,45.00,19.72
2850,5.20%,4.57%,12.49%,14.04%,35.65%,175.82,178.90
2851,5.24%,11.68%,16.10%,8.25%,115.87%,36.33,29.95
2852,8.29%,7.82%,29.13%,46.90%,74.65%,12.69,7.62
2853,,,,,,,
2854,0.00%,18.51%,-11.62%,6.92%,-46.70%,24.50,10.88
2855,,,,,,,
2856,-4.94%,-9.98%,-37.57%,-40.42%,-,12.60,7.57
2857,,,,,,,
2858,,,,,,,
2859,,,,,,,
2860,0.21%,-0.20%,0.10%,-0.20%,-,-,9.75
2861,-0.61%,-0.61%,0.83%,-,-,-,9.77
2862,-0.10%,-4.12%,-1.48%,-6.36%,-24.91%,16.63,10.00
2863,-8.45%,41.03%,55.43%,26.33%,190.65%,-,36.50
2864,-0.10%,-0.61%,-0.10%,0.31%,-6.23%,-,9.79
2865,4.69%,4.73%,45.23%,55.71%,75.53%,30.50,26.22
2866,,,,,,,
2867,,,,,,,
2868,-4.03%,2.58%,-15.30%,-44.02%,-55.48%,237.14,119.62
2869,2.41%,2.28%,33.40%,44.54%,96.12%,43.00,39.45
2870,3.54%,-12.02%,-16.50%,-10.68%,21.66%,13.00,4.26
2871,3.57%,3.08%,-4.75%,-4.17%,2.01%,219.20,162.33
2872,,,,,,,
2873,3.25%,2.24%,-5.26%,4.05%,15.02%,39.31,28.09
2874,,,,,,,
2875,,,,,,,
2876,1.07%,0.09%,-11.51%,-19.29%,1.97%,16.75,11.63
2877,,,,,,,
2878,,,,,,,
2879,,,,,,,
2880,,,,,,,
2881,,,,,,,
2882,2.97%,1.62%,6.74%,8.84%,18.60%,69.86,51.19
2883,3.31%,1.57%,5.96%,8.88%,17.38%,64.67,51.06
2884,2.66%,3.65%,22.52%,29.10%,44.01%,58.50,62.96
2885,,,,,,,
2886,-19.13%,-37.65%,-42.77%,-60.63%,-60.00%,-,17.50
2887,,,,,,,
2888,,,,,,,
2889,-0.31%,-7.33%,-12.13%,-6.08%,-13.13%,-,4.88
2890,-0.41%,-0.30%,0.20%,0.51%,-,-,9.84
2891,-4.76%,8.91%,3.77%,-13.39%,-43.73%,3.43,2.32
2892,-15.64%,-1.67%,47.15%,1.94%,1479.62%,-,14.97
2893,-7.20%,0.00%,-30.24%,-27.44%,-41.68%,15.91,7.10
2894,,,,,,,
2895,,,,,,,
2896,6.57%,8.01%,1.33%,-8.55%,-3.49%,20.75,15.94
2897,0.80%,8.31%,14.03%,-2.83%,19.43%,11.17,7.56
2898,3.46%,15.56%,13.98%,6.43%,5.45%,21.50,16.96
2899,,,,,,,
2900,,,,,,,
2901,,,,,,,
2902,-7.34%,-8.18%,-6.48%,-27.86%,-24.06%,3.75,1.02
2903,13.84%,18.36%,70.97%,66.78%,72.20%,6.75,4.76
2904,5.74%,1.99%,14.16%,23.97%,26.68%,321.00,315.02
2905,11.40%,-4.44%,39.15%,49.69%,92.29%,96.60,89.10
2906,-11.59%,-35.79%,-59.06%,-74.15%,-63.09%,6.80,1.18
2907,-4.09%,2.49%,-24.15%,-40.96%,-52.73%,11.25,5.00
2908,-6.40%,-26.88%,-42.65%,-61.39%,-62.74%,-,1.26
2909,,,,,,,
2910,,,,,,,
2911,-0.04%,-7.24%,-10.81%,-5.54%,60.48%,23.50,23.15
2912,,,,,,,
2913,,,,,,,
2914,-32.50%,-54.59%,232.96%,46.62%,-,-,11.54
2915,,,,,,,
2916,16.73%,-5.73%,-46.68%,-49.17%,-48.10%,15.50,6.52
2917,,,,,,,
2918,,,,,,,
2919,,,,,,,
2920,-2.76%,-32.86%,40.68%,28.28%,267.50%,38.00,39.17
2921,-4.52%,-23.41%,-,-,-,20.12,10.27
2922,,,,,,,
2923,-9.07%,-8.95%,-26.34%,-29.80%,-78.04%,27.17,7.00
2924,-14.49%,-33.04%,-47.33%,-76.06%,-14.69%,-,0.65
2925,-0.24%,-0.53%,-1.21%,-2.57%,-6.67%,-,10.04
2926,-3.65%,-22.92%,-51.03%,-56.10%,-,25.75,7.68
2927,-9.11%,-19.60%,-53.45%,-45.33%,-60.49%,25.33,4.49
2928,,,,,,,
2929,,,,,,,
2930,1.20%,3.67%,-9.61%,-10.88%,-3.79%,10.56,2.65
2931,2.26%,6.41%,6.87%,7.56%,15.41%,68.50,80.86
2932,-20.11%,-26.17%,-51.23%,-66.24%,-66.24%,4.00,0.83
2933,-1.25%,-3.07%,-15.51%,-18.56%,-27.52%,-,1.60
2934,,,,,,,
2935,,,,,,,
2936,0.68%,3.64%,9.83%,0.91%,7.03%,8.75,8.79
2937,-5.69%,-11.17%,-22.35%,-40.77%,-30.34%,36.78,16.59
2938,,,,,,,
2939,,,,,,,
2940,2.10%,0.81%,3.04%,-15.35%,-25.08%,172.36,85.94
2941,-8.70%,-19.23%,-35.65%,-52.76%,-40.69%,13.00,4.68
2942,,,,,,,
2943,0.00%,6.81%,13.18%,14.52%,82.55%,-,12.42
2944,,,,,,,
2945,,,,,,,
2946,,,,,,,
2947,0.10%,0.10%,0.71%,0.91%,1.01%,-,9.98
2948,,,,,,,
2949,-2.74%,-4.82%,-8.07%,-16.75%,-8.18%,18.00,15.68
2950,3.09%,-6.10%,-16.67%,-21.26%,6.38%,4.85,1.97
2951,-5.35%,-7.33%,-42.72%,-61.44%,-58.74%,4.00,1.77
2952,,,,,,,
2953,4.37%,-0.43%,3.82%,9.56%,53.24%,195.00,158.96
2954,0.34%,-10.09%,-20.97%,-19.34%,10.32%,9.25,5.79
2955,3.84%,8.21%,19.54%,44.22%,119.94%,-,39.89
2956,,,,,,,
2957,-0.63%,-4.81%,-15.08%,-1.46%,52.30%,58.12,41.33
2958,,,,,,,
2959,7.21%,9.36%,5.52%,-32.89%,0.84%,29.89,12.33
2960,-4.85%,-20.83%,-44.44%,-65.95%,-36.24%,6.38,1.03
2961,-0.05%,16.54%,-2.91%,-11.27%,-27.17%,413.44,413.10
2962,-0.20%,-0.49%,0.10%,0.62%,-,-,9.76
2963,-3.94%,-17.94%,-26.73%,-40.04%,-,31.80,17.53
2964,5.20%,10.47%,9.64%,22.00%,29.11%,163.28,166.84
2965,,,,,,,
2966,4.76%,4.70%,8.27%,7.43%,2.28%,21.50,17.20
2967,2.60%,18.02%,47.20%,51.79%,91.52%,99.77,88.50
2968,8.18%,0.70%,7.34%,4.64%,8.99%,38.50,28.01
2969,-1.13%,-3.04%,-14.69%,-19.38%,-13.46%,174.32,133.55
2970,-1.45%,-26.22%,-35.24%,-35.43%,-39.08%,16.00,6.94
2971,-8.10%,-35.49%,11.56%,31.52%,-,30.20,22.00
2972,7.52%,3.86%,5.45%,3.34%,30.20%,52.67,36.74
2973,,,,,,,
2974,0.20%,11.39%,-19.74%,-,-,-,10.24
2975,-7.90%,-25.70%,-22.59%,-35.23%,-50.68%,18.60,14.62
2976,,,,,,,
2977,,,,,,,
2978,3.23%,2.07%,8.44%,-2.48%,23.05%,93.33,79.63
2979,,,,,,,
2980,,,,,,,
2981,,,,,,,
2982,-0.50%,-1.00%,0.20%,1.00%,-,-,9.88
2983,-20.64%,-16.21%,-14.49%,-24.72%,30.02%,11.33,6.40
2984,,,,,,,
2985,,,,,,,
2986,11.11%,-9.45%,-52.63%,27.78%,44.20%,-,4.84
2987,,,,,,,
2988,,,,,,,
2989,,,,,,,
2990,1.40%,5.44%,17.48%,24.82%,59.91%,202.50,221.18
2991,,,,,,,
2992,4.99%,27.21%,83.35%,52.00%,50.54%,36.00,23.42
2993,0.40%,0.20%,1.31%,-,-,-,9.99
2994,,,,,,,
2995,,,,,,,
2996,,,,,,,
2997,,,,,,,
2998,,,,,,,
2999,,,,,,,
3000,8.09%,7.25%,-20.41%,-15.04%,-20.91%,2041.61,1344.80
3001,,,,,,,
3002,5.03%,4.56%,-3.15%,-8.31%,15.97%,12.40,11.87
3003,8.71%,12.31%,17.70%,-16.02%,-35.38%,57.56,55.28
3004,,,,,,,
3005,0.86%,-0.50%,2.67%,-9.92%,4.28%,26.50,20.01
3006,,,,,,,
3007,,,,,,,
3008,,,,,,,
3009,,,,,,,
3010,,,,,,,
3011,,,,,,,
3012,-2.50%,-6.92%,-15.40%,-38.97%,-41.18%,4.00,4.00
3013,3.41%,28.58%,52.95%,52.44%,84.28%,42.14,32.26
3014,1.88%,5.56%,8.44%,21.96%,17.47%,331.67,331.21
3015,-8.86%,-34.31%,-56.82%,-67.02%,68.26%,6.55,2.60
3016,-37.13%,-50.39%,-80.93%,-83.29%,-91.94%,7.10,0.66
3017,,,,,,,
3018,-2.76%,-28.14%,-23.09%,-73.85%,-87.18%,3.00,0.27
3019,,,,,,,
3020,9.48%,3.23%,31.07%,58.99%,94.96%,25.75,27.67
3021,,,,,,,
3022,,,,,,,
3023,-3.82%,-67.77%,-,-,-,26.67,4.27
3024,-2.01%,-20.04%,-1.81%,-16.31%,51.91%,813.67,569.19
3025,3.40%,4.55%,15.29%,17.86%,30.57%,97.80,88.00
3026,,,,,,,
3027,,,,,,,
3028,,,,,,,
3029,1.47%,1.74%,-1.81%,-4.35%,25.33%,-,15.17
3030,,,,,,,
3031,2.92%,9.99%,13.27%,13.77%,55.38%,218.88,197.77
3032,5.31%,10.33%,12.38%,42.57%,62.40%,98.00,117.94
3033,2.52%,5.31%,1.29%,-4.15%,42.26%,27.50,25.04
3034,-0.50%,6.95%,-58.64%,-59.55%,-72.57%,50.00,16.19
3035,,,,,,,
3036,,,,,,,
3037,6.52%,-0.18%,-3.94%,-18.24%,16.72%,56.50,39.07
3038,0.92%,-3.42%,24.40%,50.31%,41.26%,82.83,79.52
3039,,,,,,,
3040,7.42%,-23.12%,-,-,-,14.50,4.74
3041,-3.15%,-10.87%,-33.51%,-60.58%,-68.46%,2.62,1.25
3042,,,,,,,
3043,-3.60%,6.03%,-17.24%,-10.73%,-34.73%,220.08,146.77
3044,-1.28%,-28.17%,-31.46%,-60.17%,-,22.00,4.46
3045,,,,,,,
3046,-11.08%,-14.22%,-16.17%,-23.66%,7.84%,20.80,15.88
3047,,,,,,,
3048,,,,,,,
3049,,,,,,,
3050,-21.58%,-68.81%,-68.63%,-67.94%,-69.72%,-,2.17
3051,0.30%,-0.20%,0.81%,-,-,-,10.01
3052,3.29%,7.24%,-20.45%,-11.67%,11.71%,206.33,150.43
3053,,,,,,,
3054,,,,,,,
3055,-21.90%,-20.77%,-45.87%,-55.31%,-67.54%,19.00,1.69
3056,5.43%,1.19%,9.10%,1.28%,-15.88%,27.33,21.66
3057,,,,,,,
3058,-0.08%,2.29%,17.34%,48.82%,47.86%,567.50,538.40
3059,,,,,,,
3060,2.65%,-11.70%,2.83%,33.44%,41.49%,603.29,498.17
3061,,,,,,,
3062,2.27%,-0.62%,10.62%,4.85%,41.15%,11.58,11.28
3063,2.94%,9.38%,-5.58%,37.08%,-,11.75,10.79
3064,-0.10%,-,-,-,-,-,9.85
3065,,,,,,,
3066,,,,,,,
3067,,,,,,,
3068,,,,,,,
3069,,,,,,,
3070,0.05%,-0.05%,0.99%,0.05%,-,-,9.70
3071,-0.49%,4.15%,-18.38%,-15.66%,54.14%,88.75,48.70
3072,,,,,,,
3073,,,,,,,
3074,-30.34%,-66.16%,-78.39%,-77.86%,-,21.25,3.34
3075,-8.89%,-9.00%,-33.83%,-55.85%,-50.63%,1.92,0.47
3076,,,,,,,
3077,-0.49%,0.30%,-,-,-,-,10.07
3078,,,,,,,
3079,-6.54%,-16.20%,-14.53%,-41.06%,-,-,3.08
3080,,,,,,,
3081,3.94%,3.45%,3.02%,26.86%,40.17%,49.71,41.93
3082,,,,,,,
3083,,,,,,,
3084,,,,,,,
3085,-10.86%,-36.69%,-38.45%,-60.60%,-54.96%,23.00,5.12
3086,,,,,,,
3087,-10.53%,-15.00%,-34.11%,-48.80%,-55.03%,9.80,1.81
3088,-13.11%,-33.27%,-61.03%,-65.58%,-64.67%,2.50,0.53
3089,,,,,,,
3090,3.49%,1.89%,-14.46%,-9.88%,51.51%,30.00,28.07
3091,,,,,,,
3092,4.03%,4.75%,22.40%,22.18%,47.72%,84.00,78.62
3093,-3.01%,-3.01%,-2.13%,0.31%,-,-,9.66
3094,-9.18%,-37.98%,-58.80%,-73.47%,-56.05%,-,1.80
3095,,,,,,,
3096,1.21%,9.35%,32.16%,28.68%,81.75%,92.00,87.09
3097,1.81%,1.64%,-2.82%,-0.32%,19.69%,-,3.13
3098,7.74%,12.15%,17.95%,-0.21%,17.84%,216.20,177.77
3099,-22.08%,-48.85%,-45.08%,-67.79%,-55.63%,-,0.69
3100,0.30%,0.00%,0.81%,-1.00%,-,-,9.85
3101,0.10%,0.75%,-0.66%,-1.76%,89.98%,46.00,41.91
3102,2.70%,-7.54%,6.09%,18.44%,82.68%,120.67,107.94
3103,,,,,,,
3104,0.51%,0.00%,1.03%,-,-,-,9.84
3105,,,,,,,
3106,,,,,,,
3107,,,,,,,
3108,0.33%,0.51%,0.19%,0.73%,14.84%,95.00,94.94
3109,1.25%,-2.85%,6.45%,30.07%,35.49%,25.00,21.21
3110,,,,,,,
3111,-6.85%,-7.56%,-38.58%,-49.76%,-43.58%,39.30,18.11
3112,0.33%,-1.30%,-5.61%,-10.09%,26.78%,2.00,3.04
3113,4.71%,3.04%,0.87%,8.19%,45.07%,30.00,24.73
3114,12.81%,6.24%,-,-,-,-,10.56
3115,,,,,,,
3116,-2.67%,8.66%,7.64%,-7.69%,1.43%,36.20,28.72
3117,6.19%,-3.37%,-2.65%,-6.46%,10.15%,93.78,69.06
3118,,,,,,,
3119,,,,,,,
3120,4.48%,4.48%,-4.86%,-14.91%,-14.40%,81.50,73.91
3121,2.15%,1.86%,0.00%,-13.16%,-21.43%,20.32,17.77
3122,-3.17%,0.17%,-15.67%,-25.99%,9.21%,7.00,5.71
3123,-0.23%,-5.60%,-2.23%,-19.63%,33.13%,6.25,4.41
3124,-1.51%,-34.01%,10.78%,8.10%,188.35%,63.63,35.03
3125,0.00%,-,-,-,-,-,9.77
3126,-0.76%,0.00%,-13.25%,-14.38%,23.58%,4.38,2.58
3127,-15.04%,-28.76%,-54.07%,-64.21%,84.62%,-,3.96
3128,,,,,,,
3129,,,,,,,
3130,0.69%,1.26%,4.64%,2.07%,91.04%,-,23.25
3131,5.35%,17.97%,-,-,-,-,4.41
3132,-1.14%,4.41%,-23.03%,-57.23%,-41.80%,2.43,0.73
3133,,,,,,,
3134,-7.17%,-2.63%,-24.27%,-14.24%,77.40%,3.50,2.69
3135,3.51%,1.63%,8.35%,20.85%,9.83%,320.75,295.90
3136,,,,,,,
3137,,,,,,,
3138,4.18%,-3.16%,8.84%,5.32%,22.58%,27.20,21.43
3139,,,,,,,
3140,-11.38%,-32.46%,-29.47%,-11.84%,458.33%,17.00,6.59
3141,5.93%,10.64%,54.02%,79.43%,114.46%,75.60,75.92
3142,,,,,,,
3143,,,,,,,
3144,,,,,,,
3145,-0.08%,0.55%,15.48%,7.31%,84.02%,25.43,25.75
3146,,,,,,,
3147,,,,,,,
3148,,,,,,,
3149,,,,,,,
3150,23.20%,-11.49%,-46.53%,-87.43%,-89.65%,7.50,1.49
3151,-3.79%,-6.51%,-17.42%,-27.13%,-54.12%,3.00,0.97
3152,,,,,,,
3153,0.81%,-11.41%,-30.45%,-39.16%,-40.86%,6.92,2.35
3154,,,,,,,
3155,,,,,,,
3156,-3.51%,-13.16%,-35.55%,-45.18%,-64.74%,-,1.70
3157,-4.71%,-23.10%,-30.79%,-38.12%,-48.53%,16.50,2.70
3158,-0.10%,-0.00%,1.04%,0.73%,-,-,9.70
3159,,,,,,,
3160,,,,,,,
3161,9.36%,-15.18%,-38.22%,-61.06%,-93.48%,-,2.48
3162,,,,,,,
3163,,,,,,,
3164,,,,,,,
3165,,,,,,,
3166,,,,,,,
3167,,,,,,,
3168,,,,,,,
3169,,,,,,,
3170,1.58%,3.25%,8.38%,16.89%,32.11%,36.25,35.27
3171,,,,,,,
3172,3.45%,4.60%,23.04%,22.91%,75.57%,52.33,47.82
3173,,,,,,,
3174,-4.85%,-13.26%,-34.58%,-50.47%,-55.40%,9.33,1.62
3175,,,,,,,
3176,,,,,,,
3177,5.20%,-0.67%,-11.14%,-0.90%,17.53%,78.88,64.35
3178,,,,,,,
3179,,,,,,,
3180,,,,,,,
3181,,,,,,,
3182,,,,,,,
3183,,,,,,,
3184,-2.04%,-13.25%,-38.26%,-57.58%,-78.73%,22.67,6.24
3185,1.44%,-21.37%,-28.64%,-39.66%,-8.90%,9.62,5.72
3186,5.85%,-2.82%,14.27%,18.27%,67.45%,68.75,59.85
3187,2.62%,1.45%,0.98%,-1.37%,23.90%,401.01,344.63
3188,,,,,,,
3189,,,,,,,
3190,-5.39%,-5.14%,-15.24%,19.93%,-13.29%,45.83,40.30
3191,,,,,,,
3192,-13.19%,-22.73%,-43.02%,-77.70%,-86.24%,5.13,2.20
3193,,,,,,,
3194,-9.71%,-16.67%,-4.65%,-52.44%,-35.88%,14.50,6.11
3195,,,,,,,
3196,67.68%,55.43%,18.57%,4.53%,19.77%,20.00,7.85
3197,,,,,,,
3198,6.05%,11.64%,34.24%,13.17%,36.97%,106.81,94.97
3199,4.48%,1.58%,20.40%,26.23%,52.55%,367.58,341.80
3200,-14.26%,-35.40%,-35.70%,-59.43%,-67.08%,7.00,5.76
3201,-11.76%,-28.27%,-54.14%,-69.55%,-19.30%,-,5.36
3202,1.73%,-0.41%,14.35%,15.56%,37.01%,34.75,31.69
3203,3.13%,3.78%,8.07%,14.56%,36.03%,37.20,32.96
3204,,,,,,,
3205,,,,,,,
3206,,,,,,,
3207,-5.82%,20.00%,19.79%,22.18%,0.15%,13.60,7.00
3208,,,,,,,
3209,5.35%,-8.67%,-18.96%,-27.82%,-26.56%,44.20,28.44
3210,-10.84%,-24.87%,-37.02%,-57.10%,-51.63%,-,1.51
3211,-7.65%,-15.20%,-52.09%,-63.45%,-62.48%,7.00,0.84
3212,15.85%,-5.78%,-29.33%,-55.37%,-79.96%,-,2.04
3213,0.05%,-0.35%,-,-,-,-,9.98
3214,,,,,,,
3215,0.25%,20.54%,-15.75%,-9.02%,-19.50%,54.71,16.16
3216,,,,,,,
3217,2.60%,1.05%,-4.09%,-9.92%,0.87%,25.75,17.53
3218,,,,,,,
3219,,,,,,,
3220,,,,,,,
3221,,,,,,,
3222,,,,,,,
3223,-7.56%,-32.73%,-34.58%,5.49%,116.70%,299.53,245.54
3224,-1.42%,-28.60%,-20.78%,-55.80%,-11.03%,-,3.54
3225,,,,,,,
3226,-8.17%,-18.40%,-49.63%,-56.91%,-64.00%,11.57,4.13
3227,,,,,,,
3228,-12.55%,-41.46%,-61.69%,-70.08%,-77.42%,-,4.17
3229,3.38%,8.61%,7.49%,11.00%,28.93%,83.75,74.54
3230,3.19%,9.45%,12.40%,6.29%,13.55%,70.52,65.86
3231,-6.23%,25.33%,-6.70%,-25.40%,41.89%,9.56,7.62
3232,,,,,,,
3233,,,,,,,
3234,-13.96%,-25.49%,-29.96%,-42.44%,-47.60%,28.40,3.38
3235,2.27%,2.89%,-0.43%,-6.25%,14.28%,63.00,59.71
3236,3.23%,10.29%,7.23%,4.86%,5.22%,104.66,95.99
3237,3.55%,1.56%,-13.69%,-13.88%,-,34.00,20.85
3238,-0.10%,-0.20%,-0.79%,0.20%,-,-,9.99
3239,,,,,,,
3240,,,,,,,
3241,,,,,,,
