,Last_Q_Net,Prev_Q_Net
1314,19.35,
1315,-17.35,-15.64
1316,-1.06,1.23
1317,27.45,-5.89
1318,0.83,-8.30
1319,-1.39,7.75
1320,,
1321,0.97,0.52
1322,4.80,3.11
1323,,
1324,-11.29,-16.18
1325,,
1326,,
1327,6.70,7.40
1328,,
1329,-6.41,-4.68
1330,-76.09,-61.55
1331,,
1332,,
1333,,
1334,417.50,-83.00
1335,,
1336,,
1337,,
1338,2.88,2.88
1339,,
1340,,
1341,,
1342,-5.90,-3.28
1343,,
1344,,
1345,-22.44,-17.77
1346,-1.85,-0.65
1347,0.01,-0.03
1348,,
1349,-1.44,-1.60
1350,10.59,52.77
1351,-7.87,-9.02
1352,,
1353,,
1354,,
1355,,
1356,-16.40,-11.65
1357,,
1358,2.20,-4.50
1359,,
1360,,
1361,,
1362,,
1363,,
1364,-84.59,-60.69
1365,12.27,-0.83
1366,,
1367,,
1368,,
1369,,
1370,,
1371,,
1372,-3.45,-3.27
1373,,
1374,,
1375,25.63,16.86
1376,6.52,-7.16
1377,649.00,311.00
1378,-17.07,-40.81
1379,,
1380,,
1381,-8.94,-10.70
1382,,
1383,-5.85,14.28
1384,,
1385,,
1386,,
1387,,
1388,,
1389,,
1390,,
1391,,
1392,,
1393,0.54,-3.04
1394,,
1395,,
1396,-6.71,16.16
1397,33.10,31.62
1398,-545.03,-305.53
1399,,
1400,,
1401,,
1402,,
1403,19.14,28.57
1404,,
1405,75.60,88.00
1406,-5.56,-0.36
1407,,
1408,1.83,-2.71
1409,-28.97,-0.18
1410,,
1411,,
1412,,
1413,-28.43,4.47
1414,,
1415,,
1416,,
1417,,
1418,,
1419,-17.34,
1420,557.04,671.05
1421,19.66,17.71
1422,,
1423,,
1424,7.12,8.12
1425,,
1426,,
1427,2.37,3.69
1428,-12.67,-9.16
1429,20.90,35.30
1430,,
1431,,
1432,-5.48,-9.36
1433,,
1434,-1.86,75.48
1435,-19.24,-114.28
1436,,
1437,,
1438,,
1439,,
1440,-79.84,-70.43
1441,,
1442,,
1443,,
1444,-15.79,
1445,3.84,6.00
1446,-7.12,-6.43
1447,"3,843.00",831.00
1448,,
1449,,
1450,,
1451,,
1452,,
1453,-11.32,-7.64
1454,13.66,24.45
1455,4.30,6.70
1456,,
1457,70.90,62.90
1458,,
1459,,
1460,,
1461,,
1462,-12.20,-3.78
1463,4.59,3.16
1464,-2.87,-15.42
1465,8.07,-5.38
1466,,
1467,,
1468,,
1469,40.43,40.98
1470,68.42,55.37
1471,,
1472,156.00,672.00
1473,,
1474,,
1475,-89.34,-34.22
1476,6.43,3.35
1477,,
1478,,
1479,,
1480,0.67,0.84
1481,0.14,1.35
1482,-28.51,-22.24
1483,,
1484,,
1485,,
1486,-3.92,-1.23
1487,12.18,-3.96
1488,,
1489,,
1490,,
1491,,
1492,2.49,1.96
1493,2.81,8.99
1494,-2.45,-2.95
1495,-9.98,-9.15
1496,-1.72,-3.85
1497,,
1498,0.48,2.93
1499,-42.58,-29.95
1500,,
1501,5.14,-0.62
1502,,
1503,,
1504,,
1505,,
1506,,
1507,,
1508,,
1509,,
1510,-8.56,-8.75
1511,6.13,-25.80
1512,-166.94,-176.91
1513,1.55,-2.57
1514,32.03,32.02
1515,,
1516,,
1517,,
1518,,
1519,143.14,143.04
1520,,
1521,-1.91,-1.77
1522,,
1523,,
1524,,
1525,,
1526,,
1527,,
1528,,
1529,,
1530,-12.95,-10.35
1531,,
1532,-39.08,-55.26
1533,,
1534,,
1535,-22.22,-19.17
1536,-1.96,-1.27
1537,,
1538,-11.45,-0.18
1539,,
1540,294.00,204.00
1541,,
1542,-12.27,-5.06
1543,-0.29,
1544,,
1545,,
1546,,
1547,,
1548,,
1549,,
1550,137.21,91.18
1551,,
1552,-77.21,-15.50
1553,,
1554,-12.46,-11.02
1555,,
1556,,
1557,,
1558,-3.42,-3.11
1559,-10.84,-118.14
1560,21.81,39.35
1561,47.28,49.42
1562,,
1563,-17.16,-0.94
1564,,
1565,,
1566,12.07,12.06
1567,,
1568,,
1569,,
1570,-2.71,-0.91
1571,-1.53,-3.02
1572,,
1573,-18.12,-54.04
1574,,
1575,-65.83,-64.36
