Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector,Symbol,Current_Stock_Price/Avg_50
10.49,10.43,11.31,9.76,226075.0,22.0,0.2397,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,ACBAU,1.1658722592945663
0.7094,1.1206,2.94,0.46,1620000.0,1040000.0,0.3486,-0.16010000000000002,-0.2043,-0.5196999999999999,-0.6415000000000001,-0.5808,4.17,0.51,-8.38,-9.85,Healthcare,ACRX,0.7189173949816746
2.2694,2.6193,5.39,1.68,44340.0,304990.0,0.303,0.0268,0.0849,-0.1016,-0.19579999999999997,-0.0726,10.0,2.35,-3.27,-3.07,Healthcare,ACER,1.035515995417291
9.86,9.86,9.9,9.82,9580.0,67080.0,0.5528,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,AVHI,1.2403651115618664
0.4196,0.4214,0.52,0.06,105.0,1740.0,0.5528,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Communication Services,ACHN,29.14680648236416
10.08,10.0,10.44,9.84,100940.0,23360.0,0.0962,0.0,0.001,0.011000000000000001,0.0192,0.0353,27.67,10.12,-0.24,-0.35,unknown,ACKIT,1.003968253968254
14.66,18.34,30.38,5.65,323890.0,385540.0,0.9362,0.0,0.1826,-0.19390000000000002,-0.17370000000000002,1.2187000000000001,34.8,14.74,-21.15,-18.16,Healthcare,ACRS,1.005457025920873
3.2498,4.0741,8.66,2.25,115210.0,150530.0,0.2862,-0.0574,-0.145,-0.5096,-0.5178,-0.4501,10.0,2.31,-27.07,-22.86,Healthcare,ACOR,0.7108129731060373
66.39,82.83,104.53,56.4,11120000.0,11330000.0,0.8789,0.056100000000000004,0.11359999999999999,-0.1321,-0.2963,-0.265,92.47,67.23,639.0,876.0,Communication Services,ATVI,1.0126525079078175
4.3334,8.2331,26.17,2.93,317060.0,397060.0,0.10859999999999999,0.005699999999999999,-0.0166,-0.4522,-0.6431999999999999,-0.7191,27.67,3.85,0.02,-0.23,Communication Services,ATY,0.8884478700327687
4.7952,5.021,8.74,3.71,38630.0,54180.0,0.0034999999999999996,0.013300000000000001,-0.09880000000000001,-0.1264,-0.2853,0.0353,12.0,4.54,-4.64,-4.0,Healthcare,ACXP,0.94678011344678
25.32,30.65,78.82,5.57,32720000.0,7150000.0,0.5528,-0.2643,-0.8384,-0.8133,-0.1115,0.0353,10.0,7.85,-60.38,-44.67,Healthcare,ADGI,0.31003159557661925
0.8608,0.9415,2.34,0.49,1300000.0,6130000.0,0.1105,-0.10099999999999999,-0.265,-0.4028,-0.47869999999999996,0.1547,27.67,0.58,-12.36,-9.31,Healthcare,ADMP,0.6737918215613382
30.25,35.57,71.25,24.01,751710.0,693620.0,0.8298000000000001,-0.106,-0.0154,-0.1916,-0.3578,-0.5578,56.0,28.05,-55.9,-49.3,Healthcare,ADPT,0.9272727272727272
24.09,24.48,34.48,18.33,180890.0,159380.0,0.4336,0.0049,-0.060599999999999994,-0.23809999999999998,-0.1602,-0.37189999999999995,43.71,21.15,-71.55,-72.57,Healthcare,ADCT,0.8779576587795765
9.81,9.72,10.24,9.44,78770.0,155120.0,0.5306000000000001,-0.0015,0.0011,0.0176,0.0197,0.0353,27.67,9.86,-0.42,-0.12,Financial Services,ADEX,1.0050968399592253
2.9946,2.9545,5.08,1.68,135840.0,245250.0,0.0928,-0.1158,-0.015600000000000001,-0.3971,-0.0118,0.46509999999999996,10.67,2.62,-4.32,-4.44,Healthcare,ADIL,0.8749081680357977
1.3576,1.5163,3.111,1.01,2630000.0,2560000.0,0.4188,0.0,-0.10339999999999999,0.15039999999999998,-0.1875,-0.3367,5.58,1.33,-17.71,-18.91,Healthcare,ADMA,0.979670005892752
6.76,6.52,8.41,4.6,77120.0,121060.0,0.5036,0.0123,0.0092,0.018600000000000002,-0.1134,0.2122,27.67,6.62,24.25,16.59,Industrials,ADES,0.9792899408284024
8.13,10.07,13.78,6.94,455490.0,369210.0,0.2729,-0.015600000000000001,-0.0245,-0.1106,-0.2994,-0.42469999999999997,12.33,7.73,23.31,6.12,Communication Services,ADV,0.95079950799508
0.3924,0.4804,1.57,0.121,5500000.0,5000000.0,0.1151,-0.5005,-0.6327,-0.7049,-0.6829999999999999,-0.5739,2.25,0.15,-3.33,-5.11,Healthcare,ADXS,0.38226299694189597
1.982,3.6903,14.79,1.69,1280000.0,1970000.0,0.7376999999999999,-0.0481,-0.0481,-0.1909,-0.4914,-0.8499,4.25,1.86,-38.36,-44.33,Healthcare,ADVM,0.9384460141271443
5.9682,6.9309,8.79,3.47,253060.0,288990.0,0.9240999999999999,0.0318,-0.3059,-0.4562,-0.3937,-0.47509999999999997,13.62,4.45,-20.31,-6.83,Healthcare,AGLE,0.7456184444221038
17.52,15.24,27.44,2.54,1000000.0,927940.0,0.6696,-0.0556,-0.3435,-0.261,0.0797,3.6031,29.86,12.51,-17.6,-10.56,Energy,AMTX,0.714041095890411
9.79,9.76,10.75,9.43,15680.0,47050.0,0.8326,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,ARBG,1.2492339121552607
10.12,14.38,21.3,7.04,1450000.0,1070000.0,1.0661,-0.1074,-0.2529,-0.36840000000000006,-0.5534,-0.4644,23.12,7.44,-39.69,-38.69,Healthcare,AERI,0.7351778656126483
22.91,22.91,117.35,8.22,7770000.0,5540000.0,0.0,-0.0336,-0.9020999999999999,-0.058899999999999994,-0.1115,0.0353,27.67,11.48,0.02,-0.23,Industrials,AERC,0.5010912265386295
0.5066,0.7585,3.62,0.36,1170000.0,2000000.0,0.0391,-0.0909,-0.2354,-0.38020000000000004,-0.5781000000000001,-0.0803,27.67,0.38,0.02,-0.23,Healthcare,AEZS,0.7500986971969995
