Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Last_Q_Net - Prev_Q_Net,Sector,Symbol
10.08,10.0,10.44,9.84,100940.0,23360.0,0.0962,0.0,0.001,0.011,0.0192,0.0353,27.67,10.12,-0.24,-0.35,0.10999999999999999,unknown,ACKIT
14.66,18.34,30.38,5.65,323890.0,385540.0,0.9362,0.0,0.1826,-0.1939,-0.1737,1.2187,34.8,14.74,-21.15,-18.16,-2.9899999999999984,Healthcare,ACRS
3.2498,4.0741,8.66,2.25,115210.0,150530.0,0.2862,-0.0574,-0.145,-0.5096,-0.5178,-0.4501,10.0,2.31,-27.07,-22.86,-4.210000000000001,Healthcare,ACOR
66.39,82.83,104.53,56.4,11120000.0,11330000.0,0.8789,0.0561,0.1135999999999999,-0.1321,-0.2963,-0.265,92.47,67.23,639.0,876.0,-237.0,Communication Services,ATVI
4.3334,8.2331,26.17,2.93,317060.0,397060.0,0.1085999999999999,0.0056999999999999,-0.0166,-0.4522,-0.6431999999999999,-0.7191,27.67,3.85,0.02,-0.23,0.25,Communication Services,ATY
4.7952,5.021,8.74,3.71,38630.0,54180.0,0.0034999999999999,0.0133,-0.0988,-0.1264,-0.2853,0.0353,12.0,4.54,-4.64,-4.0,-0.6399999999999997,Healthcare,ACXP
25.32,30.65,78.82,5.57,32720000.0,7150000.0,0.5528,-0.2643,-0.8384,-0.8133,-0.1115,0.0353,10.0,7.85,-60.38,-44.67,-15.71,Healthcare,ADGI
0.8608,0.9415,2.34,0.49,1300000.0,6130000.0,0.1105,-0.1009999999999999,-0.265,-0.4028,-0.4786999999999999,0.1547,27.67,0.58,-12.36,-9.31,-3.049999999999999,Healthcare,ADMP
30.25,35.57,71.25,24.01,751710.0,693620.0,0.8298000000000001,-0.106,-0.0154,-0.1916,-0.3578,-0.5578,56.0,28.05,-55.9,-49.3,-6.600000000000001,Healthcare,ADPT
24.09,24.48,34.48,18.33,180890.0,159380.0,0.4336,0.0049,-0.0605999999999999,-0.2380999999999999,-0.1602,-0.3718999999999999,43.71,21.15,-71.55,-72.57,1.019999999999996,Healthcare,ADCT
9.81,9.72,10.24,9.44,78770.0,155120.0,0.5306000000000001,-0.0015,0.0011,0.0176,0.0197,0.0353,27.67,9.86,-0.42,-0.12,-0.3,Financial Services,ADEX
2.9946,2.9545,5.08,1.68,135840.0,245250.0,0.0928,-0.1158,-0.0156,-0.3971,-0.0118,0.4650999999999999,10.67,2.62,-4.32,-4.44,0.1200000000000001,Healthcare,ADIL
1.3576,1.5163,3.111,1.01,2630000.0,2560000.0,0.4188,0.0,-0.1033999999999999,0.1503999999999999,-0.1875,-0.3367,5.58,1.33,-17.71,-18.91,1.1999999999999993,Healthcare,ADMA
6.76,6.52,8.41,4.6,77120.0,121060.0,0.5036,0.0123,0.0092,0.0186,-0.1134,0.2122,27.67,6.62,24.25,16.59,7.66,Industrials,ADES
8.13,10.07,13.78,6.94,455490.0,369210.0,0.2729,-0.0156,-0.0245,-0.1106,-0.2994,-0.4246999999999999,12.33,7.73,23.31,6.12,17.189999999999998,Communication Services,ADV
0.3924,0.4804,1.57,0.121,5500000.0,5000000.0,0.1151,-0.5005,-0.6327,-0.7049,-0.6829999999999999,-0.5739,2.25,0.15,-3.33,-5.11,1.7800000000000002,Healthcare,ADXS
1.982,3.6903,14.79,1.69,1280000.0,1970000.0,0.7376999999999999,-0.0481,-0.0481,-0.1909,-0.4914,-0.8499,4.25,1.86,-38.36,-44.33,5.969999999999999,Healthcare,ADVM
5.9682,6.9309,8.79,3.47,253060.0,288990.0,0.9241,0.0318,-0.3059,-0.4562,-0.3937,-0.4750999999999999,13.62,4.45,-20.31,-6.83,-13.479999999999999,Healthcare,AGLE
17.52,15.24,27.44,2.54,1000000.0,927940.0,0.6696,-0.0556,-0.3435,-0.261,0.0797,3.6031,29.86,12.51,-17.6,-10.56,-7.040000000000001,Energy,AMTX
9.79,9.76,10.75,9.43,15680.0,47050.0,0.8326,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Financial Services,ARBG
10.12,14.38,21.3,7.04,1450000.0,1070000.0,1.0661,-0.1074,-0.2529,-0.3684,-0.5534,-0.4644,23.12,7.44,-39.69,-38.69,-1.0,Healthcare,AERI
22.91,22.91,117.35,8.22,7770000.0,5540000.0,0.0,-0.0336,-0.9021,-0.0588999999999999,-0.1115,0.0353,27.67,11.48,0.02,-0.23,0.25,Industrials,AERC
0.5066,0.7585,3.62,0.36,1170000.0,2000000.0,0.0391,-0.0909,-0.2354,-0.3802,-0.5781000000000001,-0.0803,27.67,0.38,0.02,-0.23,0.25,Healthcare,AEZS
2.7198,3.2566,12.49,1.45,181710.0,275500.0,0.1814,-0.0248,-0.2335,-0.491,-0.5996,-0.0574,9.33,2.02,-2.01,-2.1,0.0900000000000003,Healthcare,AEMD
6.28,7.34,11.74,4.78,838410.0,1800000.0,0.6462,-0.0401,-0.2037999999999999,-0.0581,-0.3518,-0.0708,13.35,5.82,-17.09,-18.75,1.6600000000000001,Healthcare,AFMD
132.63,90.99,176.65,46.5,9000000.0,12810000.0,0.7195,-0.0516,-0.2563,-0.1285,0.4592,0.0353,155.79,104.18,-306.62,-153.21,-153.41,Technology,AFRM
15.3,20.74,28.23,12.62,244670.0,171680.0,0.6613,0.0906,0.0633,-0.2082999999999999,-0.4073,-0.3878,24.58,15.59,53.03,17.24,35.790000000000006,Consumer Defensive,AFYA
3.6876,4.4592,6.79,2.5,5790000.0,4450000.0,0.5046,-0.0398,0.073,-0.355,-0.3843,0.0662,10.0,3.47,178.55,-83.29,261.84000000000003,Healthcare,AGEN
9.74,9.71,9.95,9.58,38490.0,30130.0,0.5351,0.0,-0.0021,0.0021,-0.1115,0.0353,27.67,9.74,0.02,-0.23,0.25,Financial Services,AGGR
8.83,10.0,36.13,4.8,277330.0,119270.0,0.396,-0.4376,-0.5024000000000001,-0.4339,-0.483,-0.4825,27.67,5.23,-4.99,0.93,-5.92,Technology,AGIL
39.39,48.37,62.16,29.21,831080.0,562780.0,1.0824,-0.0233999999999999,-0.049,-0.2692,-0.3872,-0.2379,58.25,34.11,-88.77,-86.22,-2.549999999999997,Healthcare,AGIO
2.2455,2.5059,8.45,1.751,103600.0,4860000.0,0.5528,-0.0711,-0.0883999999999999,-0.1478,-0.1115,0.0353,27.67,2.04,-1.82,-1.21,-0.6100000000000001,Consumer Defensive,AGRI
15.82,16.05,35.94,6.81,974970.0,832730.0,0.2293,-0.0942,-0.4072,-0.5499,-0.216,0.0353,34.0,9.51,-32.26,-21.62,-10.639999999999997,Industrials,AGFY
10.01,10.01,10.02,9.95,1050000.0,1050000.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,unknown,AHRNU
24.48,24.93,27.69,23.51,3440.0,4980.0,0.0069999999999999,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Industrials,AIRTP
26.9,26.08,32.43,21.42,313460.0,316320.0,0.8069,0.0202,0.1142,0.1096,0.2639,-0.043,32.8,29.31,0.02,-0.23,0.25,Industrials,ATSG
13.79,13.79,18.04,9.83,267280.0,487140.0,0.527,0.2263,0.416,-0.0588999999999999,-0.1115,0.0353,20.0,17.64,0.02,-0.23,0.25,Healthcare,AIRS
10.51,16.0,29.5,9.05,106330.0,72810.0,0.6572,-0.0159,0.103,-0.1492,-0.4913,-0.4067,16.6,10.54,-3.07,-2.61,-0.45999999999999996,Technology,AIRG
2.7156,3.0044,5.14,2.2,4640000.0,2670000.0,0.5863,-0.0803,-0.126,-0.1993,-0.3958,-0.1581,7.17,2.38,-59.54,-83.04,23.500000000000007,Healthcare,AKBA
22.35,24.67,34.87,17.66,194470.0,177960.0,0.8767,-0.0065,0.0162,-0.0479,-0.1423,-0.1528999999999999,47.0,21.89,-24.33,-28.93,4.600000000000001,Healthcare,AKRO
7.23,9.44,19.15,5.88,761000.0,609130.0,0.4681,0.0014,0.0029,-0.2746,-0.3464,-0.4004,14.88,6.99,-12.85,-10.12,-2.7300000000000004,Technology,AKTS
1.7356,2.6003,4.1,1.48,105230.0,88020.0,0.3238,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Healthcare,AKU
82.35,83.4,108.67,73.61,244500.0,189670.0,0.9743,0.0302,0.0507,0.0611,-0.0051,-0.1592,111.29,84.65,13.54,14.74,-1.200000000000001,Technology,ALRM
25.83,30.32,43.41,20.3,221850.0,155590.0,0.8856,-0.008,0.0329,-0.2191,-0.3303,-0.3731,75.33,24.25,57.09,-36.42,93.51,Healthcare,ALBO
7.5352,9.7575,15.95,3.37,3320000.0,1050000.0,0.713,0.1457,-0.4399,-0.551,-0.6461,-0.4163,20.4,4.17,-15.79,-14.94,-0.8499999999999996,Healthcare,ALDX
31.58,30.53,38.31,24.06,63470.0,28760.0,0.377,0.0292,-0.0361,-0.0204999999999999,0.0220999999999999,0.0825,32.5,29.48,17.5,17.5,0.0,Financial Services,ALRS
10.73,10.4,13.65,8.73,490660.0,571620.0,0.1775,0.1185,-0.0649,-0.0407,0.0359,0.0353,27.67,10.48,288.2,203.6,84.6,Basic Materials,ASTL
645.67,631.72,737.45,494.45,558710.0,618840.0,0.8744,0.0392,0.0297,-0.0293,0.0693,0.2553,752.91,666.62,180.97,199.71,-18.74000000000001,Healthcare,ALGN
14.63,18.84,37.51,11.11,305040.0,178640.0,0.7464,0.0152,-0.2067,-0.2051,-0.4089,-0.5408,31.5,12.35,-33.12,-29.82,-3.299999999999997,Healthcare,ALGS
2.64,2.6199,5.47,2.01,9430.0,20790.0,0.4169,-0.0239,-0.0278,-0.0993,-0.1281,0.1449,27.67,2.56,0.02,-0.23,0.25,Technology,ALYA
25.83,30.52,49.32,17.32,1010000.0,462010.0,0.4053,0.0065,-0.2844,-0.1853999999999999,-0.4371,0.0353,39.67,21.02,-11.22,-11.38,0.16000000000000014,Technology,ALKT
0.7542,0.8884,2.55,0.57,1620000.0,3310000.0,0.1813,-0.1134999999999999,-0.225,-0.2946,-0.3990999999999999,-0.087,2.0,0.61,-0.05,-1.35,1.3,Healthcare,AIKI
79.53,92.48,157.98,8.44,20150000.0,3500000.0,0.9964,-0.8782,-0.8698999999999999,-0.9028,-0.8795999999999999,-0.9281,77.2,10.23,-62.73,-57.21,-5.519999999999996,Healthcare,ALLK
18.88,18.88,32.44,12.56,1530000.0,3530000.0,0.5528,0.0837,-0.1679,-0.0588999999999999,-0.1115,0.0353,24.36,15.53,0.02,-0.23,0.25,Consumer Cyclical,BIRD
0.7662,1.0221,2.78,0.581,817260.0,3250000.0,0.2373,-0.1716,-0.1421,-0.3372,-0.5438000000000001,-0.5255,6.12,0.62,-12.69,-13.97,1.2800000000000011,Healthcare,ALNA
1.9012,2.1529,4.31,1.378,333650.0,1210000.0,0.2119,-0.1099,-0.0116,-0.0286,-0.2609,0.0118999999999999,27.67,1.71,74.3,-2.94,77.24,Communication Services,AESE
5.6,5.87,16.41,3.45,1400000.0,1590000.0,0.0479,-0.1079,-0.15,-0.1185,0.4269,0.1689999999999999,27.67,5.75,-0.98,1.55,-2.5300000000000002,Healthcare,AHPI
19.83,21.14,48.31,12.76,268740.0,185340.0,0.4158,-0.0821,-0.2444,-0.4695,-0.3313,-0.6431,42.75,13.75,-45.51,-37.59,-7.919999999999995,Healthcare,ALVR
16.27,16.2,19.01,13.05,1690000.0,1470000.0,1.1377,0.0159,0.0926999999999999,0.3762,0.0,0.2971,18.64,18.46,16.18,21.93,-5.75,Healthcare,MDRX
9.82,9.73,9.91,9.6,5210.0,61560.0,0.0,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Financial Services,ASPC
9.73,9.72,10.08,9.62,2210.0,3580.0,0.3122,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Financial Services,ALPA
10.19,10.19,10.35,10.06,46660.0,642970.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Financial Services,ALSAU
45.47,33.61,63.29,23.66,572210.0,448900.0,0.5942000000000001,0.1773,0.348,0.9888,1.0431,1.7185,65.0,61.33,23.42,19.54,3.8800000000000026,Technology,AOSL
2918.66,2641.97,3037.0,1699.0,1090000.0,1120000.0,0.6635,0.0158,0.0027,0.0891,0.1691,0.6659999999999999,3366.67,2932.72,18936.0,18525.0,411.0,Communication Services,GOOG
11.74,13.92,19.36,10.31,1210000.0,982720.0,0.486,0.0161,0.1063,-0.0323,-0.2187,-0.1559,20.3,11.91,-43.03,-38.2,-4.829999999999998,Healthcare,ATEC
10.01,10.01,10.1,9.83,730.0,29710.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Financial Services,REVE
1.3754,4.2724,29.49,0.533,2430000.0,2430000.0,0.0304,-0.0394,-0.6075,-0.7592,-0.8991,-0.8948999999999999,27.67,0.6,-7.11,-66.65,59.540000000000006,Real Estate,AEI
10.09,10.09,10.2,10.02,6670.0,276520.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Financial Services,AEAEU
75.61,70.05,82.96,54.64,205800.0,202630.0,0.9968,0.0224,-0.0129,0.0802,0.0793,0.2834,86.29,75.03,-8.11,-13.65,5.540000000000001,Technology,ALTR
1.6376,2.6985,6.25,1.21,2760000.0,4070000.000000001,0.5528,0.6015999999999999,0.1987999999999999,-0.0191,-0.4257999999999999,-0.2407,27.67,1.85,-6.75,-5.54,-1.21,Healthcare,CYTO
10.35,12.32,24.61,8.1,888680.0,773120.0,0.6474,-0.0530999999999999,-0.1491,-0.3157999999999999,-0.1137,-0.2064,31.67,9.17,-33.51,-24.83,-8.68,Healthcare,ALT
12.08,9.52,14.58,5.61,36550.0,77900.0,0.4631,0.0246,0.0593,0.141,0.2655,-0.1528999999999999,18.0,11.22,-18.27,-18.48,0.21000000000000085,Financial Services,ASPS
5.2326,5.3891,8.34,4.39,1500000.0,1630000.0,0.6025,-0.0283,-0.096,0.0084,-0.2144,-0.1651999999999999,11.33,4.87,-3.13,8.39,-11.52,Basic Materials,ALTO
65.44,65.15,91.0,45.55,42440.0,66780.0,0.4203,-0.0506,-0.0183,-0.0905,-0.096,0.3102,70.0,61.36,5.24,11.66,-6.42,Energy,ALTM
3457.6,3382.3,3773.08,2881.0,2880000.0,3220000.0,0.5971,-0.0070999999999999,-0.0499,0.0250999999999999,-0.0163,0.0187,4110.76,3404.32,3156.0,7778.0,-4622.0,Consumer Cyclical,AMZN
191.71,130.85,227.59,82.59,731620.0,749960.0,0.8223999999999999,0.0458,0.126,0.3234,0.9203,1.2922,218.0,205.22,0.76,-7.16,7.92,Technology,AMBA
